mode,horizon_seconds,standard,dense,delta,seed_scope
zero_history,60,5.868225574493408,5.938239574432373,0.07001399993896484,reference seed 20260722
zero_history,180,7.483583450317383,7.44643497467041,-0.037148475646972656,reference seed 20260722
zero_history,300,8.251067161560059,8.145487785339355,-0.10557937622070312,reference seed 20260722
history_informed,60,5.831853866577148,5.905879020690918,0.07402515411376953,reference seed 20260722
history_informed,180,7.397328853607178,7.338077068328857,-0.05925178527832031,reference seed 20260722
history_informed,300,8.126999855041504,8.015989303588867,-0.11101055145263672,reference seed 20260722
