analysis_version,valid_for_generalization,metric_family,horizon_seconds,nominal_coverage,calibrated,metric,leaky_minus_clean_estimate,ci_low,ci_high,users,matched_seed_count,matched_seeds,bootstrap_replicates,bootstrap_unit,bootstrap_order,direction
0.28.0,False,interval,180,0.9,false,mean_interval_width_bpm,0.015128720381894053,-0.01889018359490246,0.04914542048515773,948,3,20260722;20260723;20260724,10000,user,"origin within session, session within user, paired user difference within seed, mean paired user difference across three seeds, percentile bootstrap over users",leaky minus clean
0.28.0,False,interval,180,0.9,false,picp,-0.0005348226558109168,-0.0020233458016682008,0.000847339472509499,948,3,20260722;20260723;20260724,10000,user,"origin within session, session within user, paired user difference within seed, mean paired user difference across three seeds, percentile bootstrap over users",leaky minus clean
0.28.0,False,interval,180,0.9,true,mean_interval_width_bpm,0.03955211258971655,0.005647001385668434,0.07300973095667111,948,3,20260722;20260723;20260724,10000,user,"origin within session, session within user, paired user difference within seed, mean paired user difference across three seeds, percentile bootstrap over users",leaky minus clean
0.28.0,False,interval,180,0.9,true,picp,0.00018332410602111927,-0.0013774203777835081,0.0016353533201231853,948,3,20260722;20260723;20260724,10000,user,"origin within session, session within user, paired user difference within seed, mean paired user difference across three seeds, percentile bootstrap over users",leaky minus clean
0.28.0,False,interval,300,0.5,false,mean_interval_width_bpm,-0.01597922537937564,-0.03236802277000844,0.000686076723999336,948,3,20260722;20260723;20260724,10000,user,"origin within session, session within user, paired user difference within seed, mean paired user difference across three seeds, percentile bootstrap over users",leaky minus clean
0.28.0,False,interval,300,0.5,false,picp,-0.0012621903231239916,-0.003254403882784594,0.0007747977417700466,948,3,20260722;20260723;20260724,10000,user,"origin within session, session within user, paired user difference within seed, mean paired user difference across three seeds, percentile bootstrap over users",leaky minus clean
0.28.0,False,interval,300,0.5,true,mean_interval_width_bpm,0.004780279328515538,-0.011419797590092524,0.02177822873381746,948,3,20260722;20260723;20260724,10000,user,"origin within session, session within user, paired user difference within seed, mean paired user difference across three seeds, percentile bootstrap over users",leaky minus clean
0.28.0,False,interval,300,0.5,true,picp,-0.0002224296600303969,-0.002221019637853498,0.0018226772817706888,948,3,20260722;20260723;20260724,10000,user,"origin within session, session within user, paired user difference within seed, mean paired user difference across three seeds, percentile bootstrap over users",leaky minus clean
0.28.0,False,interval,300,0.8,false,mean_interval_width_bpm,-0.06404395194951307,-0.09230841206253614,-0.03536772909261389,948,3,20260722;20260723;20260724,10000,user,"origin within session, session within user, paired user difference within seed, mean paired user difference across three seeds, percentile bootstrap over users",leaky minus clean
0.28.0,False,interval,300,0.8,false,picp,0.0002513897987817798,-0.0013263423692767909,0.0019128602736426196,948,3,20260722;20260723;20260724,10000,user,"origin within session, session within user, paired user difference within seed, mean paired user difference across three seeds, percentile bootstrap over users",leaky minus clean
0.28.0,False,interval,300,0.8,true,mean_interval_width_bpm,-0.01850189560447415,-0.04652072108264281,0.009588895127082808,948,3,20260722;20260723;20260724,10000,user,"origin within session, session within user, paired user difference within seed, mean paired user difference across three seeds, percentile bootstrap over users",leaky minus clean
0.28.0,False,interval,300,0.8,true,picp,0.001001526892946478,-0.0005534247644621888,0.0026613644256337963,948,3,20260722;20260723;20260724,10000,user,"origin within session, session within user, paired user difference within seed, mean paired user difference across three seeds, percentile bootstrap over users",leaky minus clean
0.28.0,False,interval,300,0.9,false,mean_interval_width_bpm,-0.03159261512585531,-0.06784283817633263,0.003781396631409771,948,3,20260722;20260723;20260724,10000,user,"origin within session, session within user, paired user difference within seed, mean paired user difference across three seeds, percentile bootstrap over users",leaky minus clean
0.28.0,False,interval,300,0.9,false,picp,-0.0007636990971078713,-0.0027318502462652778,0.0008474940745984377,948,3,20260722;20260723;20260724,10000,user,"origin within session, session within user, paired user difference within seed, mean paired user difference across three seeds, percentile bootstrap over users",leaky minus clean
0.28.0,False,interval,300,0.9,true,mean_interval_width_bpm,0.08391726030634686,0.04778650154705173,0.1199665667806749,948,3,20260722;20260723;20260724,10000,user,"origin within session, session within user, paired user difference within seed, mean paired user difference across three seeds, percentile bootstrap over users",leaky minus clean
0.28.0,False,interval,300,0.9,true,picp,0.0003837627070407437,-0.001090790209663824,0.001751247629550787,948,3,20260722;20260723;20260724,10000,user,"origin within session, session within user, paired user difference within seed, mean paired user difference across three seeds, percentile bootstrap over users",leaky minus clean
0.28.0,False,point,60,,,bias_bpm,-0.059239068965403215,-0.07273270575545304,-0.04585247595109345,948,3,20260722;20260723;20260724,10000,user,"origin within session, session within user, paired user difference within seed, mean paired user difference across three seeds, percentile bootstrap over users",leaky minus clean
0.28.0,False,point,60,,,mae_bpm,-0.011278127313886489,-0.0245967548865228,0.0016974087027176368,948,3,20260722;20260723;20260724,10000,user,"origin within session, session within user, paired user difference within seed, mean paired user difference across three seeds, percentile bootstrap over users",negative denotes optimistic error
0.28.0,False,point,60,,,rmse_bpm,-0.011296943887657448,-0.024619332503278604,0.002055978561443467,948,3,20260722;20260723;20260724,10000,user,"origin within session, session within user, paired user difference within seed, mean paired user difference across three seeds, percentile bootstrap over users",negative denotes optimistic error
0.28.0,False,point,180,,,bias_bpm,-0.07512828425660481,-0.09200617839291497,-0.057238794138458116,948,3,20260722;20260723;20260724,10000,user,"origin within session, session within user, paired user difference within seed, mean paired user difference across three seeds, percentile bootstrap over users",leaky minus clean
0.28.0,False,point,180,,,mae_bpm,-0.014397001749293478,-0.027473642097917143,-0.0009717448020808218,948,3,20260722;20260723;20260724,10000,user,"origin within session, session within user, paired user difference within seed, mean paired user difference across three seeds, percentile bootstrap over users",negative denotes optimistic error
0.28.0,False,point,180,,,rmse_bpm,-0.019634834757136507,-0.03367814455816866,-0.005788901484124593,948,3,20260722;20260723;20260724,10000,user,"origin within session, session within user, paired user difference within seed, mean paired user difference across three seeds, percentile bootstrap over users",negative denotes optimistic error
0.28.0,False,point,300,,,bias_bpm,-0.004592910839726801,-0.022369390573812476,0.013530749660887175,948,3,20260722;20260723;20260724,10000,user,"origin within session, session within user, paired user difference within seed, mean paired user difference across three seeds, percentile bootstrap over users",leaky minus clean
0.28.0,False,point,300,,,mae_bpm,-0.0009439588047155971,-0.01567208503266068,0.014393413441243112,948,3,20260722;20260723;20260724,10000,user,"origin within session, session within user, paired user difference within seed, mean paired user difference across three seeds, percentile bootstrap over users",negative denotes optimistic error
0.28.0,False,point,300,,,rmse_bpm,-0.002786007870594697,-0.017823872355716166,0.012848141303625753,948,3,20260722;20260723;20260724,10000,user,"origin within session, session within user, paired user difference within seed, mean paired user difference across three seeds, percentile bootstrap over users",negative denotes optimistic error
