analysis_version,valid_for_generalization,coverage_guarantee_valid,seed,horizon_seconds,nominal_coverage,calibrated,clean_picp,leaky_picp,leaky_minus_clean_picp,clean_absolute_coverage_error,leaky_absolute_coverage_error,clean_mean_interval_width_bpm,leaky_mean_interval_width_bpm,leaky_minus_clean_width_bpm,clean_conformal_adjustment_bpm,leaky_conformal_adjustment_bpm,users,sessions,origins
0.28.0,False,False,20260722,60,0.5,False,0.4896651829408355,0.485850650684583,-0.003814532256252501,0.010334817059164503,0.014149349315417004,9.363851992243024,9.268152028649073,-0.09569996359395105,0.0,0.0,948,16012,104144
0.28.0,False,False,20260722,180,0.5,False,0.4927487939550349,0.48932450184030823,-0.003424292114726668,0.007251206044965097,0.010675498159691765,11.590379751057371,11.548159624641935,-0.04222012641543671,0.0,0.0,948,16012,104144
0.28.0,False,False,20260722,300,0.5,False,0.4885849475747467,0.48305528867925285,-0.005529658895493839,0.011415052425253314,0.016944711320747152,12.476661034530679,12.342867042252626,-0.13379399227805244,0.0,0.0,948,16012,104144
0.28.0,False,False,20260722,60,0.5,True,0.4896651829408355,0.49120582162086623,0.001540638680030737,0.010334817059164503,0.008794178379133766,9.363851992243024,9.341381159073439,-0.02247083316958509,0.0,0.03662109375,948,16012,104144
0.28.0,False,False,20260722,180,0.5,True,0.4927487939550349,0.4896694873330448,-0.00307930662199013,0.007251206044965097,0.010330512666955227,11.590379751057371,11.555085916866936,-0.03529383419043519,0.0,0.0034637451171875,948,16012,104144
0.28.0,False,False,20260722,300,0.5,True,0.4885849475747467,0.48449994331862556,-0.0040850042561211275,0.011415052425253314,0.015500056681374441,12.476661034530679,12.369079067146618,-0.10758196738406056,0.0,0.0131072998046875,948,16012,104144
0.28.0,False,False,20260722,60,0.8,False,0.7909128579099642,0.7874775879869225,-0.0034352699230417727,0.009087142090035805,0.012522412013077577,18.545412367074075,18.26340479812628,-0.2820075689477939,0.0,0.0,948,16012,104144
0.28.0,False,False,20260722,180,0.8,False,0.7933731463791468,0.7907266734391281,-0.0026464729400187403,0.006626853620853246,0.009273326560871986,23.038675156665278,22.909002319611517,-0.12967283705376076,0.0,0.0,948,16012,104144
0.28.0,False,False,20260722,300,0.8,False,0.7909922230660504,0.7844602768334065,-0.00653194623264397,0.009007776933949607,0.015539723166593578,24.96739290607533,24.6872013268795,-0.2801915791958294,0.0,0.0,948,16012,104144
0.28.0,False,False,20260722,60,0.8,True,0.7909128579099642,0.7925765276471307,0.0016636697371664733,0.009087142090035805,0.007423472352869331,18.545412367074075,18.425182156523192,-0.12023021055088279,0.0,0.0809173583984375,948,16012,104144
