aggregation_version,seed,main_experiment,comparator_experiment,comparator_model,regime,horizon_seconds,main_mode,main_mae_bpm,comparator_mae_bpm,main_minus_comparator_mae_bpm,users,sessions,origins,difference_direction,seed_inferential_test
0.22.0,20260723,unseen_main,unseen_gru,gru,unseen_user_validation,60,zero_history,6.244334220886231,6.268546104431152,-0.024211883544920987,127,19062,123370,negative favors main zero-history model,False
0.22.0,20260723,unseen_main,unseen_gru,gru,unseen_user_validation,180,zero_history,7.854025363922119,7.747066497802734,0.10695886611938477,127,19062,123370,negative favors main zero-history model,False
0.22.0,20260723,unseen_main,unseen_gru,gru,unseen_user_validation,300,zero_history,8.340431213378906,8.272579193115234,0.06785202026367188,127,19062,123370,negative favors main zero-history model,False
0.22.0,20260724,unseen_main,unseen_gru,gru,goldencheetah_external__indoor_virtual_cycling,60,zero_history,6.338993072509766,6.533020973205566,-0.19402790069580078,41,2275,26235,negative favors main zero-history model,False
0.22.0,20260724,unseen_main,unseen_gru,gru,goldencheetah_external__indoor_virtual_cycling,180,zero_history,9.503745079040527,9.87916374206543,-0.37541866302490234,41,2275,26235,negative favors main zero-history model,False
0.22.0,20260724,unseen_main,unseen_gru,gru,goldencheetah_external__indoor_virtual_cycling,300,zero_history,11.373435020446776,11.734527587890623,-0.36109256744384766,41,2275,26235,negative favors main zero-history model,False
0.22.0,20260724,unseen_main,unseen_gru,gru,goldencheetah_external__outdoor_cycling,60,zero_history,7.667156219482422,7.761177539825439,-0.09402132034301669,143,25757,470820,negative favors main zero-history model,False
0.22.0,20260724,unseen_main,unseen_gru,gru,goldencheetah_external__outdoor_cycling,180,zero_history,10.513540267944336,10.554752349853516,-0.04121208190917969,143,25757,470820,negative favors main zero-history model,False
0.22.0,20260724,unseen_main,unseen_gru,gru,goldencheetah_external__outdoor_cycling,300,zero_history,11.54173183441162,11.602807998657228,-0.06107616424560902,143,25757,470820,negative favors main zero-history model,False
0.22.0,20260724,unseen_main,unseen_gru,gru,goldencheetah_external__running,60,zero_history,5.712589263916016,5.799711227416992,-0.08712196350097656,50,3819,34670,negative favors main zero-history model,False
0.22.0,20260724,unseen_main,unseen_gru,gru,goldencheetah_external__running,180,zero_history,7.69429874420166,7.677884578704834,0.016414165496826172,50,3819,34670,negative favors main zero-history model,False
0.22.0,20260724,unseen_main,unseen_gru,gru,goldencheetah_external__running,300,zero_history,8.64622974395752,8.609619140625,0.03661060333251953,50,3819,34670,negative favors main zero-history model,False
0.22.0,20260724,unseen_main,unseen_gru,gru,goldencheetah_frozen_external,60,zero_history,7.426656246185303,7.527267456054687,-0.10061120986938388,144,31851,531725,negative favors main zero-history model,False
0.22.0,20260724,unseen_main,unseen_gru,gru,goldencheetah_frozen_external,180,zero_history,10.197721481323242,10.245433807373049,-0.047712326049806464,144,31851,531725,negative favors main zero-history model,False
0.22.0,20260724,unseen_main,unseen_gru,gru,goldencheetah_frozen_external,300,zero_history,11.19109058380127,11.259870529174805,-0.06877994537353516,144,31851,531725,negative favors main zero-history model,False
0.22.0,20260724,unseen_main,unseen_gru,gru,unseen_user_test,60,zero_history,5.91007137298584,5.902315139770508,0.007756233215332031,105,15026,101184,negative favors main zero-history model,False
0.22.0,20260724,unseen_main,unseen_gru,gru,unseen_user_test,180,zero_history,7.513736248016357,7.423017024993896,0.09071922302246183,105,15026,101184,negative favors main zero-history model,False
0.22.0,20260724,unseen_main,unseen_gru,gru,unseen_user_test,300,zero_history,8.336525917053223,8.210880279541016,0.12564563751220703,105,15026,101184,negative favors main zero-history model,False
0.22.0,20260724,unseen_main,unseen_gru,gru,unseen_user_validation,60,zero_history,6.260177612304688,6.254271984100342,0.005905628204346591,127,19062,123370,negative favors main zero-history model,False
0.22.0,20260724,unseen_main,unseen_gru,gru,unseen_user_validation,180,zero_history,7.813675880432129,7.767924785614014,0.045751094818115234,127,19062,123370,negative favors main zero-history model,False
0.22.0,20260724,unseen_main,unseen_gru,gru,unseen_user_validation,300,zero_history,8.348260879516602,8.268796920776367,0.07946395874023438,127,19062,123370,negative favors main zero-history model,False
0.22.0,20260722,unseen_main,unseen_tcn,tcn,goldencheetah_external__indoor_virtual_cycling,60,zero_history,6.399306774139404,6.437654972076416,-0.03834819793701172,41,2275,26235,negative favors main zero-history model,False
0.22.0,20260722,unseen_main,unseen_tcn,tcn,goldencheetah_external__indoor_virtual_cycling,180,zero_history,9.548711776733398,9.581259727478027,-0.032547950744628906,41,2275,26235,negative favors main zero-history model,False
0.22.0,20260722,unseen_main,unseen_tcn,tcn,goldencheetah_external__indoor_virtual_cycling,300,zero_history,11.40442943572998,11.46929931640625,-0.06486988067626953,41,2275,26235,negative favors main zero-history model,False
0.22.0,20260722,unseen_main,unseen_tcn,tcn,goldencheetah_external__outdoor_cycling,60,zero_history,7.697455883026123,7.692971706390381,0.0044841766357421875,143,25757,470820,negative favors main zero-history model,False
0.22.0,20260722,unseen_main,unseen_tcn,tcn,goldencheetah_external__outdoor_cycling,180,zero_history,10.524621963500977,10.496793746948242,0.027828216552734375,143,25757,470820,negative favors main zero-history model,False
0.22.0,20260722,unseen_main,unseen_tcn,tcn,goldencheetah_external__outdoor_cycling,300,zero_history,11.567116737365724,11.573172569274902,-0.006055831909177911,143,25757,470820,negative favors main zero-history model,False
0.22.0,20260722,unseen_main,unseen_tcn,tcn,goldencheetah_external__running,60,zero_history,5.706521034240723,5.674779891967773,0.03174114227294922,50,3819,34670,negative favors main zero-history model,False
0.22.0,20260722,unseen_main,unseen_tcn,tcn,goldencheetah_external__running,180,zero_history,7.713495254516602,7.599831581115723,0.1136636734008789,50,3819,34670,negative favors main zero-history model,False
0.22.0,20260722,unseen_main,unseen_tcn,tcn,goldencheetah_external__running,300,zero_history,8.702949523925781,8.620933532714844,0.0820159912109375,50,3819,34670,negative favors main zero-history model,False
0.22.0,20260722,unseen_main,unseen_tcn,tcn,goldencheetah_frozen_external,60,zero_history,7.454541683197021,7.4522833824157715,0.002258300781249112,144,31851,531725,negative favors main zero-history model,False
0.22.0,20260722,unseen_main,unseen_tcn,tcn,goldencheetah_frozen_external,180,zero_history,10.205812454223633,10.173812866210938,0.03199958801269531,144,31851,531725,negative favors main zero-history model,False
0.22.0,20260722,unseen_main,unseen_tcn,tcn,goldencheetah_frozen_external,300,zero_history,11.213605880737305,11.21510410308838,-0.001498222351075995,144,31851,531725,negative favors main zero-history model,False
0.22.0,20260722,unseen_main,unseen_tcn,tcn,unseen_user_test,60,zero_history,5.868225574493408,5.866712093353272,0.0015134811401358306,105,15026,101184,negative favors main zero-history model,False
0.22.0,20260722,unseen_main,unseen_tcn,tcn,unseen_user_test,180,zero_history,7.483583450317383,7.448401927947998,0.035181522369384766,105,15026,101184,negative favors main zero-history model,False
0.22.0,20260722,unseen_main,unseen_tcn,tcn,unseen_user_test,300,zero_history,8.251067161560059,8.251749038696289,-0.0006818771362304688,105,15026,101184,negative favors main zero-history model,False
0.22.0,20260722,unseen_main,unseen_tcn,tcn,unseen_user_validation,60,zero_history,6.244073867797852,6.25480842590332,-0.01073455810546875,127,19062,123370,negative favors main zero-history model,False
0.22.0,20260722,unseen_main,unseen_tcn,tcn,unseen_user_validation,180,zero_history,7.813691139221191,7.791611194610596,0.022079944610595703,127,19062,123370,negative favors main zero-history model,False
0.22.0,20260722,unseen_main,unseen_tcn,tcn,unseen_user_validation,300,zero_history,8.32426643371582,8.313872337341309,0.010394096374511719,127,19062,123370,negative favors main zero-history model,False
0.22.0,20260723,unseen_main,unseen_tcn,tcn,goldencheetah_external__indoor_virtual_cycling,60,zero_history,6.412806987762451,6.486262798309326,-0.073455810546875,41,2275,26235,negative favors main zero-history model,False
0.22.0,20260723,unseen_main,unseen_tcn,tcn,goldencheetah_external__indoor_virtual_cycling,180,zero_history,9.528862953186035,9.632904052734377,-0.10404109954834162,41,2275,26235,negative favors main zero-history model,False
0.22.0,20260723,unseen_main,unseen_tcn,tcn,goldencheetah_external__indoor_virtual_cycling,300,zero_history,11.372793197631836,11.568689346313477,-0.19589614868164062,41,2275,26235,negative favors main zero-history model,False
0.22.0,20260723,unseen_main,unseen_tcn,tcn,goldencheetah_external__outdoor_cycling,60,zero_history,7.703134536743164,7.772051334381103,-0.06891679763793856,143,25757,470820,negative favors main zero-history model,False
0.22.0,20260723,unseen_main,unseen_tcn,tcn,goldencheetah_external__outdoor_cycling,180,zero_history,10.53630542755127,10.505462646484377,0.030842781066892755,143,25757,470820,negative favors main zero-history model,False
0.22.0,20260723,unseen_main,unseen_tcn,tcn,goldencheetah_external__outdoor_cycling,300,zero_history,11.564311981201172,11.567816734313965,-0.0035047531127929688,143,25757,470820,negative favors main zero-history model,False
0.22.0,20260723,unseen_main,unseen_tcn,tcn,goldencheetah_external__running,60,zero_history,5.716474533081055,5.800718784332275,-0.0842442512512207,50,3819,34670,negative favors main zero-history model,False
0.22.0,20260723,unseen_main,unseen_tcn,tcn,goldencheetah_external__running,180,zero_history,7.681581974029541,7.652937412261963,0.028644561767578125,50,3819,34670,negative favors main zero-history model,False
0.22.0,20260723,unseen_main,unseen_tcn,tcn,goldencheetah_external__running,300,zero_history,8.74850082397461,8.674707412719727,0.07379341125488281,50,3819,34670,negative favors main zero-history model,False
0.22.0,20260723,unseen_main,unseen_tcn,tcn,goldencheetah_frozen_external,60,zero_history,7.464600563049316,7.535810470581055,-0.07120990753173828,144,31851,531725,negative favors main zero-history model,False
0.22.0,20260723,unseen_main,unseen_tcn,tcn,goldencheetah_frozen_external,180,zero_history,10.212077140808104,10.18344497680664,0.028632164001463067,144,31851,531725,negative favors main zero-history model,False
0.22.0,20260723,unseen_main,unseen_tcn,tcn,goldencheetah_frozen_external,300,zero_history,11.213930130004885,11.217134475708008,-0.0032043457031232236,144,31851,531725,negative favors main zero-history model,False
0.22.0,20260723,unseen_main,unseen_tcn,tcn,unseen_user_test,60,zero_history,5.898017883300781,5.918589115142822,-0.020571231842041016,105,15026,101184,negative favors main zero-history model,False
0.22.0,20260723,unseen_main,unseen_tcn,tcn,unseen_user_test,180,zero_history,7.474909782409668,7.477725505828857,-0.002815723419189453,105,15026,101184,negative favors main zero-history model,False
0.22.0,20260723,unseen_main,unseen_tcn,tcn,unseen_user_test,300,zero_history,8.303367614746094,8.282685279846191,0.020682334899902344,105,15026,101184,negative favors main zero-history model,False
0.22.0,20260723,unseen_main,unseen_tcn,tcn,unseen_user_validation,60,zero_history,6.244334220886231,6.299915790557861,-0.05558156967162997,127,19062,123370,negative favors main zero-history model,False
0.22.0,20260723,unseen_main,unseen_tcn,tcn,unseen_user_validation,180,zero_history,7.854025363922119,7.802235126495361,0.05179023742675781,127,19062,123370,negative favors main zero-history model,False
0.22.0,20260723,unseen_main,unseen_tcn,tcn,unseen_user_validation,300,zero_history,8.340431213378906,8.33614444732666,0.004286766052246094,127,19062,123370,negative favors main zero-history model,False
0.22.0,20260724,unseen_main,unseen_tcn,tcn,goldencheetah_external__indoor_virtual_cycling,60,zero_history,6.338993072509766,6.50501823425293,-0.16602516174316406,41,2275,26235,negative favors main zero-history model,False
0.22.0,20260724,unseen_main,unseen_tcn,tcn,goldencheetah_external__indoor_virtual_cycling,180,zero_history,9.503745079040527,9.643104553222656,-0.1393594741821289,41,2275,26235,negative favors main zero-history model,False
0.22.0,20260724,unseen_main,unseen_tcn,tcn,goldencheetah_external__indoor_virtual_cycling,300,zero_history,11.373435020446776,11.59188175201416,-0.2184467315673846,41,2275,26235,negative favors main zero-history model,False
