aggregation_version,seed,experiment,family,phase,source_kind,model,source_model_version,source_analysis_version,protocol,regime,mode,horizon_seconds,nominal_coverage,calibrated,metric,value,users,sessions,origins,aggregation,source_file,source_sha256
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,60,0.8,true,conformal_adjustment_bpm,0.0,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,60,0.8,true,mean_interval_width_bpm,21.138086318969727,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,60,0.8,true,picp,0.8473918437957764,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,60,0.9,false,absolute_coverage_error,0.0110262393951415,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,60,0.9,false,conformal_adjustment_bpm,0.0,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,60,0.9,false,mean_interval_width_bpm,28.829458236694336,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,60,0.9,false,picp,0.9110262393951416,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,60,0.9,true,absolute_coverage_error,0.0110262393951415,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,60,0.9,true,conformal_adjustment_bpm,0.0,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,60,0.9,true,mean_interval_width_bpm,28.829458236694336,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
