model_version,regime,mode,horizon_seconds,mae_bpm,rmse_bpm,bias_bpm,users,sessions,origins
0.13.0,within_user_temporal_test,history_informed,60,6.029804229736328,7.312652111053467,0.3759154677391052,948,16012,104144
0.13.0,within_user_temporal_test,history_informed,180,7.552857398986816,9.095870971679688,0.42102062702178955,948,16012,104144
0.13.0,within_user_temporal_test,history_informed,300,8.24975299835205,9.847173690795898,0.5894739627838135,948,16012,104144
0.13.0,within_user_temporal_test,zero_history,60,6.078311443328857,7.366058349609375,0.33653587102890015,948,16012,104144
0.13.0,within_user_temporal_test,zero_history,180,7.643674850463867,9.202603340148926,0.35637611150741577,948,16012,104144
0.13.0,within_user_temporal_test,zero_history,300,8.358138084411621,9.979348182678223,0.46508029103279114,948,16012,104144
