analysis_version,model,regime,calibration_source,horizon_seconds,mae_bpm,users,sessions,origins,radius_50_bpm,picp_50,width_50_bpm,radius_80_bpm,picp_80,width_80_bpm,radius_90_bpm,picp_90,width_90_bpm,weighted_interval_score
0.26.0,persistence_symmetric_split_conformal,strict_temporal_test,strict_temporal_calibration,60,6.7259420633675,948,16012,104144,3.888885498046875,0.49910145536532435,7.776937657917639,10.333328247070312,0.7986451616210185,20.660510605480024,16.75,0.8993061847218972,33.48342322837486,4.542462718279465
0.26.0,persistence_symmetric_split_conformal,strict_temporal_test,strict_temporal_calibration,180,8.75667761981665,948,16012,104144,5.0,0.5071525491061657,9.998593320703035,13.625,0.7977646108293075,27.239120639752485,21.300003051757812,0.8941241900334165,42.57214862707053,5.847418318323014
0.26.0,persistence_symmetric_split_conformal,strict_temporal_test,strict_temporal_calibration,300,9.587486016407192,948,16012,104144,5.615386962890625,0.4860444625650208,11.228957548784154,14.75,0.7928273563251934,29.48723124264529,22.75,0.8924889574767334,45.46790671246261,6.323481693087198
0.26.0,persistence_symmetric_split_conformal,unseen_user_test,unseen_user_calibration,60,6.559022513094622,105,15026,101184,3.6666641235351562,0.48918133992442064,7.331102287902466,9.428573608398438,0.783353137829768,18.841906859965256,15.0,0.8828151629343073,29.96173694055207,4.433446753190845
0.26.0,persistence_symmetric_split_conformal,unseen_user_test,unseen_user_calibration,180,8.626678256613165,105,15026,101184,5.0,0.5168097875117046,9.996211232759066,12.5,0.7801017805376822,24.973105206000973,19.75,0.8799312549632156,39.434260002494696,5.771541206476581
0.26.0,persistence_symmetric_split_conformal,unseen_user_test,unseen_user_calibration,300,9.599249704763317,105,15026,101184,5.1999969482421875,0.4807070996274334,10.395859970983755,13.5,0.7720162332164198,26.9688434962498,21.0,0.8785463245807607,41.925797215899415,6.386722346284446
0.26.0,persistence_symmetric_split_conformal,goldencheetah_frozen_external,unseen_user_calibration,60,7.929456539287262,144,31851,531725,3.6666641235351562,0.41147878868963444,7.333148376499428,9.428573608398438,0.7136270012980808,18.85552935306354,15.0,0.8467947744041437,29.995513640114787,5.319287367077475
0.26.0,persistence_symmetric_split_conformal,goldencheetah_frozen_external,unseen_user_calibration,180,11.282272709702745,144,31851,531725,5.0,0.41508850125875135,9.999671439858217,12.5,0.6833366933048883,24.997000876270135,19.75,0.8145504148269186,39.49122452602754,7.507658650883751
0.26.0,persistence_symmetric_split_conformal,goldencheetah_frozen_external,unseen_user_calibration,300,12.569137759976847,144,31851,531725,5.1999969482421875,0.3740555265840989,10.399619510723689,13.5,0.6654653286166133,26.996449786807823,21.0,0.8106908030812353,41.989768710442654,8.322511375451331
