analysis_version,source_model_version,data_source,sport_family,horizon_seconds,mode,calibrated,picp_50,picp_50_ci_low,picp_50_ci_high,mean_50_interval_width_bpm,mean_50_interval_width_bpm_ci_low,mean_50_interval_width_bpm_ci_high,picp_80,picp_80_ci_low,picp_80_ci_high,mean_80_interval_width_bpm,mean_80_interval_width_bpm_ci_low,mean_80_interval_width_bpm_ci_high,picp_90,picp_90_ci_low,picp_90_ci_high,mean_90_interval_width_bpm,mean_90_interval_width_bpm_ci_low,mean_90_interval_width_bpm_ci_high,weighted_interval_score,weighted_interval_score_ci_low,weighted_interval_score_ci_high,users,sessions,origins,bootstrap_replicates,bootstrap_unit,aggregation
0.21.0,0.11.0,GoldenCheetah,outdoor_cycling,60,zero_history,True,0.4881901741027832,0.4771673998033459,0.4990593048659238,11.698193550109863,11.323318810729713,12.08685369141452,0.781572163105011,0.7729133359202138,0.7899636493904608,23.137393951416016,22.475186420654083,23.8205828533306,0.8829992413520813,0.8766212667618598,0.8891470781156233,30.862871170043945,30.056896669881326,31.697188649477656,4.609221458435059,4.433405812720319,4.789592933446377,143,25757,470820,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.21.0,0.11.0,GoldenCheetah,outdoor_cycling,180,zero_history,True,0.46225979924201965,0.4499575334099623,0.4747655987479053,14.856464385986328,14.449271331300269,15.2578998979155,0.7515982389450073,0.7408023121577877,0.7625539529052647,29.382104873657227,28.70218858218693,30.05538209368299,0.8621758818626404,0.8541771683451179,0.8701068909122394,39.09172058105469,38.29072019670393,39.88549953240614,6.268564224243164,6.0371399381360815,6.495355603995024,143,25757,470820,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.21.0,0.11.0,GoldenCheetah,outdoor_cycling,300,zero_history,True,0.45869290828704834,0.4460475898914404,0.47158792011075085,16.167665481567383,15.780979016610791,16.554185337786908,0.744560718536377,0.7322421392777584,0.7567271159558029,32.048805236816406,31.40224405535451,32.70137599164789,0.8523710370063782,0.843318794355109,0.8612665243394725,42.220123291015625,41.46209687786502,42.977680148944984,6.908898830413818,6.658423006326169,7.16686180809161,143,25757,470820,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.21.0,0.11.0,GoldenCheetah,indoor_virtual_cycling,60,zero_history,True,0.4130958318710327,0.37579064320591166,0.4503542594611645,7.330134868621826,6.908660528717972,7.758166812687385,0.7043945789337158,0.6647194445496653,0.7412408303560281,14.889602661132812,14.141050032871526,15.66748387464663,0.8103045225143433,0.7709881263535197,0.8452977821957774,20.306264877319336,19.368859395166723,21.287664591393817,4.108493328094482,3.491158805969285,4.862158415739129,41,2275,26235,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.21.0,0.11.0,GoldenCheetah,indoor_virtual_cycling,180,zero_history,True,0.41243642568588257,0.36897129473708024,0.46015793725666476,10.350593566894531,9.841726078928971,10.842121679899169,0.6645877957344055,0.6147841873692304,0.7122409994645816,20.91171646118164,20.02926268810179,21.76747839392685,0.7962629795074463,0.7610590018150283,0.830698340840456,28.591766357421875,27.499291262975554,29.666411934829338,6.070657730102539,5.243924577788609,6.969585522645857,41,2275,26235,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.21.0,0.11.0,GoldenCheetah,indoor_virtual_cycling,300,zero_history,True,0.3783170282840729,0.33320115313115645,0.42305734361090314,11.659246444702148,11.146265644561954,12.170886611356968,0.6556728482246399,0.6003474393814076,0.7056051375117244,23.70717430114746,22.796127998538132,24.63198709487915,0.7664270401000977,0.7128530976975836,0.8101540443010447,32.00386047363281,30.877526042519545,33.15065539522869,7.38604211807251,6.2506907502325575,8.686900457667141,41,2275,26235,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.21.0,0.11.0,GoldenCheetah,running,60,zero_history,True,0.48060011863708496,0.4467674662452191,0.5089289286732673,7.846407413482666,7.163124202847481,8.617528454661368,0.7583372592926025,0.7136528418064116,0.7918625446557999,15.635224342346191,14.419060899734497,17.0108926653862,0.8563799858093262,0.8087669332027435,0.8901106207370758,21.099590301513672,19.587822796344756,22.80559083032608,3.6648569107055664,3.1865846841335297,4.237142823517322,50,3819,34670,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.21.0,0.11.0,GoldenCheetah,running,180,zero_history,True,0.4602791965007782,0.4275278630107641,0.48872155460715294,10.233726501464844,9.343383947134019,11.271986627817153,0.7580879330635071,0.7239877843409777,0.7894630866795778,20.34992218017578,18.883644391059875,22.029655938148494,0.8597251772880554,0.8272809583693743,0.8864762454330921,27.750001907348633,25.98804837036133,29.744036878585813,4.869501113891602,4.240678418755531,5.583315748929977,50,3819,34670,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.21.0,0.11.0,GoldenCheetah,running,300,zero_history,True,0.4651459753513336,0.4326951723098755,0.49437598629295826,11.125938415527344,10.271800681829452,12.139066836833955,0.7409921288490295,0.7074367761611939,0.7720904913842678,22.405065536499023,20.950203154563905,24.102619630813596,0.8537138104438782,0.8206669061481953,0.882058753669262,30.516435623168945,28.766975110054016,32.526268214225766,5.5055389404296875,4.790183054447174,6.31812383377552,50,3819,34670,10000,user,"origin-within-session, session-within-user, equal-user mean"
