analysis_version,source_model_version,held_sport_code,held_sport_family,regime,mode,horizon_seconds,nominal_coverage,calibrated,conformal_adjustment_bpm,picp,picp_ci_low,picp_ci_high,absolute_coverage_error,absolute_coverage_error_ci_low,absolute_coverage_error_ci_high,mean_interval_width_bpm,mean_interval_width_ci_low,mean_interval_width_ci_high,users,sessions,origins,support_caution_lt25_users,bootstrap_replicates,bootstrap_unit,aggregation
0.17.0,0.12.0,2,indoor_virtual_cycling,unseen_sport__indoor_virtual_cycling,zero_history,300,0.9,True,0.0,0.8925451636314392,0.8701829027573941,0.9120535111528332,0.007454836368560813,0.0003581236100803242,0.029817097242605933,36.873817443847656,35.23700635796886,38.53135318877333,118,1571,11591,False,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.17.0,0.12.0,2,indoor_virtual_cycling,joint_user_sport__indoor_virtual_cycling,history_informed,60,0.9,True,0.0539093017578125,0.9081436991691589,0.8452736862831646,0.9578082826402452,0.008143699169158913,0.001066910194026122,0.06344797276788287,28.660091400146484,23.92624103228251,33.82563143836127,18,234,1523,True,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.17.0,0.12.0,2,indoor_virtual_cycling,joint_user_sport__indoor_virtual_cycling,history_informed,180,0.9,True,0.0,0.8659237623214722,0.7457769318587251,0.9440912521547741,0.034076237678527854,0.0021323054697778457,0.15422306814127498,39.01057434082031,34.32808289792803,44.148765185144214,18,234,1523,True,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.17.0,0.12.0,2,indoor_virtual_cycling,joint_user_sport__indoor_virtual_cycling,history_informed,300,0.9,True,0.0,0.9079867601394653,0.8680386200547219,0.9456368664900462,0.00798676013946531,0.0007781350447072622,0.047072080191638756,43.35966110229492,38.618948539098106,48.2988902621799,18,234,1523,True,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.17.0,0.12.0,2,indoor_virtual_cycling,joint_user_sport__indoor_virtual_cycling,zero_history,60,0.9,True,0.015625,0.90092533826828,0.83830725931459,0.9508458842833837,0.0009253382682800071,0.0009577121171686604,0.06409924531976385,26.535526275634766,21.929339936044478,31.649162369304232,18,234,1523,True,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.17.0,0.12.0,2,indoor_virtual_cycling,joint_user_sport__indoor_virtual_cycling,zero_history,180,0.9,True,0.0,0.8303503394126892,0.7128361250791284,0.9145709379679627,0.06964966058731081,0.0026437081727716557,0.1871638749208715,35.00212097167969,30.48208431667752,39.98571130434672,18,234,1523,True,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.17.0,0.12.0,2,indoor_virtual_cycling,joint_user_sport__indoor_virtual_cycling,zero_history,300,0.9,True,0.0,0.8198983073234558,0.6837292816903856,0.9230421025719907,0.08010169267654421,0.0035118527379301187,0.2162707183096144,38.817222595214844,34.46885140207079,43.749330464998884,18,234,1523,True,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.17.0,0.12.0,3,running,unseen_sport__running,history_informed,60,0.9,True,0.21375274658203125,0.9289463758468628,0.923528323116313,0.9339464663993566,0.02894637584686277,0.02352832311631308,0.03394646639935665,26.03401756286621,25.46568571392979,26.62142414184553,448,44652,308648,False,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.17.0,0.12.0,3,running,unseen_sport__running,history_informed,180,0.9,True,0.4583282470703125,0.9269072413444519,0.9211677985731512,0.9323320123732888,0.026907241344451882,0.021167798573151257,0.0323320123732888,34.972877502441406,34.35545395059245,35.59238588458725,448,44652,308648,False,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.17.0,0.12.0,3,running,unseen_sport__running,history_informed,300,0.9,True,0.234375,0.9163184762001038,0.9096062332757615,0.9227389775748763,0.016318476200103738,0.009606233275761494,0.022738977574876352,38.315250396728516,37.66408581967865,38.959299992876396,448,44652,308648,False,10000,user,"origin-within-session, session-within-user, equal-user mean"
