analysis_version,seed,regime,mode,horizon_seconds,cohort,mae_bpm,rmse_bpm,bias_bpm,users,sessions,origins
0.30.0,20260722,unseen_user_test,history_informed,180,common_three_target,7.397328853607178,8.890103340148926,0.474986732006073,105,15026,101184
0.30.0,20260722,unseen_user_test,history_informed,180,horizon_specific,7.538875102996826,9.196126937866211,0.7104048728942871,105,15026,109252
0.30.0,20260723,unseen_user_test,history_informed,180,common_three_target,7.3938140869140625,8.891006469726562,0.12935633957386017,105,15026,101184
0.30.0,20260723,unseen_user_test,history_informed,180,horizon_specific,7.536069869995117,9.193553924560547,0.3559665381908417,105,15026,109252
0.30.0,20260724,unseen_user_test,history_informed,180,common_three_target,7.420022964477539,8.906476974487305,0.2779105305671692,105,15026,101184
0.30.0,20260724,unseen_user_test,history_informed,180,horizon_specific,7.567331314086914,9.213892936706543,0.511424720287323,105,15026,109252
0.30.0,20260725,unseen_user_test,history_informed,180,common_three_target,7.409515857696533,8.900215148925781,0.1583636999130249,105,15026,101184
0.30.0,20260725,unseen_user_test,history_informed,180,horizon_specific,7.561221122741699,9.217547416687012,0.3783084750175476,105,15026,109252
0.30.0,20260726,unseen_user_test,history_informed,180,common_three_target,7.407142639160156,8.892720222473145,0.31609079241752625,105,15026,101184
0.30.0,20260726,unseen_user_test,history_informed,180,horizon_specific,7.551511764526367,9.200430870056152,0.5418580770492554,105,15026,109252
0.30.0,20260722,unseen_user_test,history_informed,300,common_three_target,8.126999855041504,9.722333908081055,0.4415894150733948,105,15026,101184
0.30.0,20260722,unseen_user_test,history_informed,300,horizon_specific,8.205302238464355,9.872159004211426,0.5220867395401001,105,15026,104019
0.30.0,20260723,unseen_user_test,history_informed,300,common_three_target,8.156569480895996,9.734848976135254,0.12126181274652481,105,15026,101184
0.30.0,20260723,unseen_user_test,history_informed,300,horizon_specific,8.233482360839844,9.881454467773438,0.1923653781414032,105,15026,104019
0.30.0,20260724,unseen_user_test,history_informed,300,common_three_target,8.212199211120605,9.793744087219238,0.26616981625556946,105,15026,101184
0.30.0,20260724,unseen_user_test,history_informed,300,horizon_specific,8.284024238586426,9.936100959777832,0.3345181345939636,105,15026,104019
0.30.0,20260725,unseen_user_test,history_informed,300,common_three_target,8.187463760375977,9.772653579711914,0.236276313662529,105,15026,101184
0.30.0,20260725,unseen_user_test,history_informed,300,horizon_specific,8.265788078308105,9.919662475585938,0.3116060197353363,105,15026,104019
0.30.0,20260726,unseen_user_test,history_informed,300,common_three_target,8.156834602355957,9.730366706848145,0.2232876569032669,105,15026,101184
0.30.0,20260726,unseen_user_test,history_informed,300,horizon_specific,8.238306045532227,9.884298324584961,0.2977789640426636,105,15026,104019
0.30.0,20260722,within_user_temporal_test,history_informed,60,common_three_target,6.0110273361206055,7.289932727813721,0.4986192286014557,948,16012,104144
0.30.0,20260722,within_user_temporal_test,history_informed,60,horizon_specific,6.015206813812256,7.42816686630249,0.604037344455719,948,16012,118631
0.30.0,20260723,within_user_temporal_test,history_informed,60,common_three_target,6.0118279457092285,7.295825958251953,0.49917009472846985,948,16012,104144
0.30.0,20260723,within_user_temporal_test,history_informed,60,horizon_specific,6.014317989349365,7.431718349456787,0.602849543094635,948,16012,118631
0.30.0,20260724,within_user_temporal_test,history_informed,60,common_three_target,6.035852909088135,7.3153276443481445,0.4724319577217102,948,16012,104144
