model_version,regime,mode,horizon_seconds,nominal_coverage,calibrated,picp,absolute_coverage_error,mean_interval_width_bpm,conformal_adjustment_bpm,users,sessions,origins
0.11.0,unseen_user_test,zero_history,300,0.8,True,0.7788750529289246,0.021124947071075484,23.92953109741211,0.0,105,15026,101184
0.11.0,unseen_user_test,zero_history,60,0.9,False,0.8881853222846985,0.011814677715301536,23.42063331604004,0.0,105,15026,101184
0.11.0,unseen_user_test,zero_history,180,0.9,False,0.8862467408180237,0.01375325918197634,29.522640228271484,0.0,105,15026,101184
0.11.0,unseen_user_test,zero_history,300,0.9,False,0.8779008388519287,0.02209916114807131,32.20851516723633,0.0,105,15026,101184
0.11.0,unseen_user_test,zero_history,60,0.9,True,0.8893775343894958,0.010622465610504173,23.481266021728516,0.0303802490234375,105,15026,101184
0.11.0,unseen_user_test,zero_history,180,0.9,True,0.8862467408180237,0.01375325918197634,29.522640228271484,0.0,105,15026,101184
0.11.0,unseen_user_test,zero_history,300,0.9,True,0.8779008388519287,0.02209916114807131,32.20851516723633,0.0,105,15026,101184
0.11.0,unseen_user_test,history_informed,60,0.5,False,0.48889967799186707,0.011100322008132935,8.994180679321289,0.0,105,15026,101184
0.11.0,unseen_user_test,history_informed,180,0.5,False,0.47926461696624756,0.02073538303375244,11.117942810058594,0.0,105,15026,101184
0.11.0,unseen_user_test,history_informed,300,0.5,False,0.481361448764801,0.018638551235198975,12.018022537231445,0.0,105,15026,101184
0.11.0,unseen_user_test,history_informed,60,0.5,True,0.48889967799186707,0.011100322008132935,8.994180679321289,0.0,105,15026,101184
0.11.0,unseen_user_test,history_informed,180,0.5,True,0.47926461696624756,0.02073538303375244,11.117942810058594,0.0,105,15026,101184
0.11.0,unseen_user_test,history_informed,300,0.5,True,0.481361448764801,0.018638551235198975,12.018022537231445,0.0,105,15026,101184
0.11.0,unseen_user_test,history_informed,60,0.8,False,0.7938156127929688,0.006184387207031294,17.736310958862305,0.0,105,15026,101184
0.11.0,unseen_user_test,history_informed,180,0.8,False,0.7866079211235046,0.013392078876495406,22.080665588378906,0.0,105,15026,101184
0.11.0,unseen_user_test,history_informed,300,0.8,False,0.7838241457939148,0.01617585420608525,23.969228744506836,0.0,105,15026,101184
0.11.0,unseen_user_test,history_informed,60,0.8,True,0.7938156127929688,0.006184387207031294,17.736310958862305,0.0,105,15026,101184
0.11.0,unseen_user_test,history_informed,180,0.8,True,0.7866079211235046,0.013392078876495406,22.080665588378906,0.0,105,15026,101184
0.11.0,unseen_user_test,history_informed,300,0.8,True,0.7838241457939148,0.01617585420608525,23.969228744506836,0.0,105,15026,101184
0.11.0,unseen_user_test,history_informed,60,0.9,False,0.8959376215934753,0.00406237840652468,23.750444412231445,0.0,105,15026,101184
0.11.0,unseen_user_test,history_informed,180,0.9,False,0.8905643820762634,0.009435617923736594,29.746551513671875,0.0,105,15026,101184
0.11.0,unseen_user_test,history_informed,300,0.9,False,0.8829283714294434,0.017071628570556663,32.238609313964844,0.0,105,15026,101184
0.11.0,unseen_user_test,history_informed,60,0.9,True,0.8969206809997559,0.003079319000244163,23.828298568725586,0.0390625,105,15026,101184
0.11.0,unseen_user_test,history_informed,180,0.9,True,0.8905643820762634,0.009435617923736594,29.746551513671875,0.0,105,15026,101184
0.11.0,unseen_user_test,history_informed,300,0.9,True,0.8829283714294434,0.017071628570556663,32.238609313964844,0.0,105,15026,101184
0.11.0,goldencheetah_frozen_external,zero_history,60,0.5,False,0.4837518334388733,0.01624816656112671,11.181589126586914,0.0,144,31851,531725
0.11.0,goldencheetah_frozen_external,zero_history,180,0.5,False,0.4589923322200775,0.041007667779922485,14.243669509887695,0.0,144,31851,531725
0.11.0,goldencheetah_frozen_external,zero_history,300,0.5,False,0.45582717657089233,0.044172823429107666,15.492124557495117,0.0,144,31851,531725
0.11.0,goldencheetah_frozen_external,zero_history,60,0.5,True,0.4837518334388733,0.01624816656112671,11.181589126586914,0.0,144,31851,531725
0.11.0,goldencheetah_frozen_external,zero_history,180,0.5,True,0.4589923322200775,0.041007667779922485,14.243669509887695,0.0,144,31851,531725
0.11.0,goldencheetah_frozen_external,zero_history,300,0.5,True,0.45582717657089233,0.044172823429107666,15.492124557495117,0.0,144,31851,531725
0.11.0,goldencheetah_frozen_external,zero_history,60,0.8,False,0.7764489054679871,0.023551094532012984,22.101484298706055,0.0,144,31851,531725
0.11.0,goldencheetah_frozen_external,zero_history,180,0.8,False,0.7474929094314575,0.052507090568542525,28.142223358154297,0.0,144,31851,531725
0.11.0,goldencheetah_frozen_external,zero_history,300,0.8,False,0.7423403263092041,0.05765967369079594,30.720998764038086,0.0,144,31851,531725
