analysis_version,metric,category,unit,internal_point,internal_ci_low,internal_ci_high,external_point,external_ci_low,external_ci_high,external_minus_internal,difference_ci_low,difference_ci_high,external_to_internal_ratio,ratio_ci_low,ratio_ci_high,internal_users,external_users,bootstrap_replicates,bootstrap_unit,aggregation
0.21.0,context_hr_bpm,heart_rate,bpm,145.4398581444247,142.78282622559794,148.1047254903707,136.62340656961436,134.9110990079506,138.42624813684654,-8.816451574810344,-11.994135236709273,-5.57492927180864,0.9393807743812881,0.9188403758073563,0.96122669188856,105,144,2000,"user, independently within each data source","origin-within-session, session-within-user, equal-user mean"
0.21.0,target_hr_60_bpm,heart_rate,bpm,146.5581275327445,143.99377680261154,149.17906031445153,138.27266540990033,136.5435750698571,139.89850323669208,-8.285462122844166,-11.416312474511875,-5.203460057872628,0.9434663756809188,0.9234284976213292,0.9639882938343107,105,144,2000,"user, independently within each data source","origin-within-session, session-within-user, equal-user mean"
0.21.0,target_hr_180_bpm,heart_rate,bpm,146.8155918400686,144.28936797357684,149.55184572258784,138.7462504885913,137.0477200476455,140.39343200904415,-8.069341351477306,-11.390042123303635,-5.092687615510045,0.9450375723018062,0.9236565627021143,0.9647002131349707,105,144,2000,"user, independently within each data source","origin-within-session, session-within-user, equal-user mean"
0.21.0,target_hr_300_bpm,heart_rate,bpm,146.9965694280373,144.2534741689582,149.6930243253509,138.8470678450233,137.11459391801648,140.57691043973725,-8.149501583014,-11.16523127240772,-4.966149518164782,0.9445599199034124,0.9249782586056512,0.9656334757149875,105,144,2000,"user, independently within each data source","origin-within-session, session-within-user, equal-user mean"
0.21.0,context_hr_missing_percent,context_missingness,percent,6.721145169497802,6.090753625501573,7.350351236626461,0.5935410858428971,0.5070011105478653,0.6868388725998438,-6.127604083654905,-6.76260954609681,-5.486052722911909,0.08830951733292884,0.07397258636166389,0.1050573030705948,105,144,2000,"user, independently within each data source","origin-within-session, session-within-user, equal-user mean"
0.21.0,context_speed_missing_percent,context_missingness,percent,6.698876090876891,6.059340357001321,7.328193276348817,0.6034623483014481,0.4862523781891686,0.7600674142617395,-6.0954137425754435,-6.726926781800871,-5.441147019848112,0.0900841186065966,0.07112774701072473,0.11568217738505487,105,144,2000,"user, independently within each data source","origin-within-session, session-within-user, equal-user mean"
0.21.0,context_altitude_missing_percent,context_missingness,percent,6.693929453185438,6.046213731355449,7.3142028824879795,8.362736182080491,5.901407861156039,11.152420444742548,1.6688067288950528,-0.9008002278354791,4.488223370555059,1.2493015112522463,0.8697630129767181,1.6964674818704297,105,144,2000,"user, independently within each data source","origin-within-session, session-within-user, equal-user mean"
0.21.0,session_duration_minutes,session_support,minutes,70.3077530558952,63.7528829240047,79.09433182519648,114.80786867259624,108.27955356426862,121.77667139233465,44.50011561670104,34.078171349761625,54.29799909535529,1.6329332638652683,1.4292689007507997,1.8367364734189335,105,144,2000,"user, independently within each data source","session-within-user, equal-user mean"
0.21.0,raw_valid_hr_coverage_percent,raw_support,percent,99.90617986842366,99.75261660684828,99.99475288434968,99.69002925189845,99.58819540311957,99.78042348271894,-0.21615061652521206,-0.36260007743730754,-0.03692414412143448,0.9978364640024282,0.9963717920405277,0.9996299066472218,105,144,2000,"user, independently within each data source","session-within-user, equal-user mean"
0.21.0,raw_median_sampling_gap_seconds,raw_support,seconds,7.218449132669934,6.912751120665702,7.517023704732025,1.0380892750771478,1.0117509062300845,1.0733280469420894,-6.180359857592786,-6.479685789886157,-5.870928997490884,0.14381056872436296,0.13681758228580948,0.1519582938933888,105,144,2000,"user, independently within each data source","session-within-user, equal-user mean"
0.21.0,raw_max_sampling_gap_seconds,raw_support,seconds,519.6200443822945,224.36917935294252,966.1644143543176,363.7096502649392,302.3788946825312,431.91719107033293,-155.91039411735528,-616.2856162004583,149.24889421331315,0.6999530795570138,0.3683942030166916,1.6396927506346148,105,144,2000,"user, independently within each data source","session-within-user, equal-user mean"
0.21.0,causal_grid_hr_observed_percent,causal_grid_support,percent,86.4528223614488,84.46123881966341,88.32456926369284,94.63192977723095,93.88300886535087,95.33415163510897,8.179107415782155,6.133231267381371,10.34869365650375,1.0946077547542208,1.0695555883062349,1.1225564964946442,105,144,2000,"user, independently within each data source","session-within-user, equal-user mean"
0.21.0,causal_grid_speed_observed_percent,causal_grid_support,percent,86.29630706159944,84.26707939956742,88.16832485559206,94.52376023464473,93.73889418813853,95.22119416364924,8.22745317304529,6.1650974296544225,10.326406486268054,1.0953395742319822,1.0699486582262776,1.1223511117740776,105,144,2000,"user, independently within each data source","session-within-user, equal-user mean"
0.21.0,causal_grid_altitude_observed_percent,causal_grid_support,percent,86.50559294458024,84.38456596846376,88.28176376508667,87.09907632660426,84.41286648252925,89.34395135456917,0.5934833820240186,-2.527181068735834,3.7865351689981863,1.0068606359637837,0.9711624521459274,1.0447190584380759,105,144,2000,"user, independently within each data source","session-within-user, equal-user mean"
0.21.0,evaluation_origins_per_session,evaluation_support,origins/session,6.6687262238450815,6.278549477307307,7.04680517665642,17.469382957863886,16.46482037262504,18.440838127583824,10.800656734018805,9.757864224760192,11.864923042125298,2.619598161849763,2.4131253260299235,2.839039659513528,105,144,2000,"user, independently within each data source","session-within-user, equal-user mean"
0.21.0,model_user_history_available,deployment,percent,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,nan,nan,nan,105,144,0,not applicable; fixed by deployment protocol,"history mask forced to zero for both evaluations; this is model information availability, not absence of earlier raw workouts"
