regime,mode,horizon_seconds,nominal_coverage,calibration_method,seed_count,conformal_adjustment_bpm_median,conformal_adjustment_bpm_min,conformal_adjustment_bpm_max,picp_median,picp_min,picp_max,absolute_coverage_error_median,absolute_coverage_error_min,absolute_coverage_error_max,mean_interval_width_bpm_median,mean_interval_width_bpm_min,mean_interval_width_bpm_max
goldencheetah_frozen_external,zero_history,180,0.5,equal_user_equal_session_empirical,5,0.20654296875,0.0338592529296875,0.28466796875,0.47619033485858253,0.46947949878933454,0.47801273522866367,0.02380966514141747,0.021987264771336335,0.030520501210665463,14.712413680064966,14.563005839335226,14.76448756653817
goldencheetah_frozen_external,zero_history,180,0.5,origin_pooled_finite_sample_cqr,5,0.0,0.0,0.0240936279296875,0.46066377114297397,0.4554788018750182,0.4750684713348916,0.039336228857026034,0.024931528665108393,0.04452119812498179,14.243669601488838,14.149925064716655,14.696770232330683
goldencheetah_frozen_external,zero_history,180,0.8,equal_user_equal_session_empirical,5,0.5234375,0.10713958740234375,0.6417388916015625,0.766198182609001,0.7606886806362261,0.7732123651009298,0.03380181739099908,0.026787634899070212,0.03931131936377397,29.074004688609232,28.61399736558566,29.6949569385539
goldencheetah_frozen_external,zero_history,180,0.8,origin_pooled_finite_sample_cqr,5,0.0,0.0,0.049713134765625,0.7504994599133737,0.743990137094686,0.7620536039540333,0.0495005400866263,0.037946396045966724,0.05600986290531407,28.142225059670864,27.6413777173645,28.696237132451795
goldencheetah_frozen_external,zero_history,180,0.9,equal_user_equal_session_empirical,5,0.6328125,0.36978912353515625,0.8125,0.8703534818679748,0.865066072053933,0.8747612976197198,0.029646518132025235,0.025238702380280253,0.03493392794606698,38.6160323787757,37.86659209648464,39.22189308417582
goldencheetah_frozen_external,zero_history,180,0.9,origin_pooled_finite_sample_cqr,5,0.0625,0.0,0.134613037109375,0.8585680515853216,0.8533203699393083,0.86343384003031,0.041431948414678454,0.03656615996969004,0.04667963006069176,37.497622004957556,36.75728407705474,37.87653536453316
goldencheetah_frozen_external,zero_history,300,0.5,equal_user_equal_session_empirical,5,0.10333251953125,0.0,0.216796875,0.46265981543250145,0.4618446600935305,0.466778813826982,0.03734018456749855,0.033221186173018,0.03815533990646952,15.698784277204112,15.681686125796457,15.840963078852376
goldencheetah_frozen_external,zero_history,300,0.5,origin_pooled_finite_sample_cqr,5,0.0,0.0,0.0,0.4587974043629155,0.4501385866142156,0.46494597135406973,0.041202595637084505,0.03505402864593027,0.049861413385784426,15.573392378344424,15.252367680183896,15.714068061943188
goldencheetah_frozen_external,zero_history,300,0.8,equal_user_equal_session_empirical,5,0.362396240234375,0.0,0.435546875,0.7542301296044078,0.745730922698285,0.7575006205886043,0.045769870395592216,0.0424993794113957,0.05426907730171504,31.297642261367425,30.520548459406047,31.741662389646347
goldencheetah_frozen_external,zero_history,300,0.8,origin_pooled_finite_sample_cqr,5,0.0,0.0,0.0,0.7423402791171151,0.7362278439665675,0.7487018695444996,0.05765972088288496,0.05129813045550047,0.06377215603343256,30.698720294971565,29.911197870442784,31.01689984372576
goldencheetah_frozen_external,zero_history,300,0.9,equal_user_equal_session_empirical,5,0.9921875,0.5645904541015625,1.0677032470703125,0.8655317554858001,0.8635062391709544,0.8687877215575778,0.03446824451419994,0.031212278442422248,0.03649376082904565,42.12106564971014,41.84512808899275,42.71145281118883
goldencheetah_frozen_external,zero_history,300,0.9,origin_pooled_finite_sample_cqr,5,0.0,0.0,0.1164703369140625,0.8502699915305603,0.8462903412436696,0.8535285777422003,0.04973000846943976,0.046471422257799766,0.05370965875633038,40.56033417552666,39.8084092702753,40.727267737939215
goldencheetah_frozen_external,zero_history,60,0.5,equal_user_equal_session_empirical,5,0.1064453125,0.0367889404296875,0.1958770751953125,0.4960473769084608,0.48735458281687116,0.5077932067008116,0.007617305260113283,0.003952623091539209,0.012645417183128838,11.331526923294215,11.25516532722742,11.580457429623614
goldencheetah_frozen_external,zero_history,60,0.5,origin_pooled_finite_sample_cqr,5,0.0205078125,0.0,0.068359375,0.487563639062623,0.4827650075289937,0.4996820878094519,0.012436360937376989,0.0003179121905481086,0.017234992471006294,11.181589239714569,11.053605758590802,11.39881943366398
goldencheetah_frozen_external,zero_history,60,0.8,equal_user_equal_session_empirical,5,0.337890625,0.0,0.38818359375,0.793493507438305,0.7871077397403864,0.7948094881187289,0.006506492561694999,0.005190511881271176,0.012892260259613653,22.777229207173754,22.46049497431396,22.875979336815305
goldencheetah_frozen_external,zero_history,60,0.8,origin_pooled_finite_sample_cqr,5,0.0,0.0,0.078125,0.7816999641052279,0.7729597575404331,0.7947303676664087,0.018300035894772138,0.005269632333591345,0.027040242459566932,22.134251478372757,21.82609839312306,22.875979336815305
goldencheetah_frozen_external,zero_history,60,0.9,equal_user_equal_session_empirical,5,0.5859375,0.21484375,0.6328125,0.8916281612280663,0.8860059622683562,0.8927855815042823,0.008371838771933704,0.007214418495717689,0.013994037731643871,30.687852043451585,29.88784609753125,30.72680601244443
goldencheetah_frozen_external,zero_history,60,0.9,origin_pooled_finite_sample_cqr,5,0.040496826171875,0.0,0.2398834228515625,0.880138365957313,0.877468808152715,0.8882561823723161,0.019861634042687037,0.01174381762768395,0.022531191847285026,29.547367564318833,29.273910658355177,30.29715405443424
unseen_user_test,history_informed,180,0.5,equal_user_equal_session_empirical,5,0.10807037353515625,0.0,0.2138671875,0.49034795854408536,0.48426930784182204,0.4951917124323422,0.00965204145591464,0.004808287567657776,0.01573069215817796,11.372653823893742,11.287778412213177,11.464309670469168
unseen_user_test,history_informed,180,0.5,origin_pooled_finite_sample_cqr,5,0.0,0.0,0.0286407470703125,0.4792646160465541,0.4725480806956565,0.4951917124323422,0.020735383953445874,0.004808287567657776,0.027451919304343486,11.117944228927733,10.974606184663529,11.464309670469168
unseen_user_test,history_informed,180,0.8,equal_user_equal_session_empirical,5,0.377349853515625,0.046875,0.5129241943359375,0.8033504833398831,0.8006668096098005,0.8055640120027316,0.0033504833398830813,0.0006668096098004783,0.0055640120027316,22.83314463107096,22.777873984260655,22.979334891138095
unseen_user_test,history_informed,180,0.8,origin_pooled_finite_sample_cqr,5,0.0,0.0,0.046875,0.7866079658977164,0.7824223940954345,0.7995765234029204,0.013392034102283623,0.0004234765970796417,0.017577605904565585,22.080667389851676,21.848579626707718,22.70964859833625
