model_version,held_sport_family,regime,model,horizon_seconds,mae_bpm,rmse_bpm,bias_bpm,users,sessions,origins
0.12.0,outdoor_cycling,unseen_sport__outdoor_cycling,persistence,60,8.690838728383143,10.407341402242032,-0.1649326690138669,452,40943,236748
0.12.0,outdoor_cycling,unseen_sport__outdoor_cycling,persistence,180,11.00662294025491,13.050619432908121,-0.5924291245871433,452,40943,236748
0.12.0,outdoor_cycling,unseen_sport__outdoor_cycling,persistence,300,11.785450355094266,13.851358886682723,-0.27154415924745817,452,40943,236748
0.12.0,outdoor_cycling,unseen_sport__outdoor_cycling,ewma_alpha_0_1,60,8.551263737313247,10.086959579749632,-0.7259784042364811,452,40943,236748
0.12.0,outdoor_cycling,unseen_sport__outdoor_cycling,ewma_alpha_0_1,180,9.856109923844956,11.541695680084148,-1.1534748598097577,452,40943,236748
0.12.0,outdoor_cycling,unseen_sport__outdoor_cycling,ewma_alpha_0_1,300,10.614074400082277,12.427363665531054,-0.8325898944700725,452,40943,236748
0.12.0,outdoor_cycling,unseen_sport__outdoor_cycling,linear_trend,60,11.218925545355331,13.25120641828937,0.4567935059034634,452,40943,236748
0.12.0,outdoor_cycling,unseen_sport__outdoor_cycling,linear_trend,180,16.71160891592352,19.60879572499158,0.9215726570355122,452,40943,236748
0.12.0,outdoor_cycling,unseen_sport__outdoor_cycling,linear_trend,300,22.005854014350156,25.639856160741807,2.1275918525965203,452,40943,236748
0.12.0,outdoor_cycling,joint_user_sport__outdoor_cycling,persistence,60,8.72255122124091,10.5303778697759,-0.568627740163393,77,6097,37856
0.12.0,outdoor_cycling,joint_user_sport__outdoor_cycling,persistence,180,11.347720448826989,13.52266341474094,-0.5086058479973076,77,6097,37856
0.12.0,outdoor_cycling,joint_user_sport__outdoor_cycling,persistence,300,12.109017145749664,14.462960258182845,-0.5848119523111516,77,6097,37856
0.12.0,outdoor_cycling,joint_user_sport__outdoor_cycling,ewma_alpha_0_1,60,8.791083255157087,10.423911029510974,-1.024430784222773,77,6097,37856
0.12.0,outdoor_cycling,joint_user_sport__outdoor_cycling,ewma_alpha_0_1,180,10.036073592635502,11.895221471730697,-0.9644088920566875,77,6097,37856
0.12.0,outdoor_cycling,joint_user_sport__outdoor_cycling,ewma_alpha_0_1,300,11.183748132863085,13.17079702594661,-1.0406149963705316,77,6097,37856
0.12.0,outdoor_cycling,joint_user_sport__outdoor_cycling,linear_trend,60,11.636539258352867,13.797597276019467,0.30756934343889075,77,6097,37856
0.12.0,outdoor_cycling,joint_user_sport__outdoor_cycling,linear_trend,180,17.45384202607204,20.511572932340087,1.3668195541425665,77,6097,37856
0.12.0,outdoor_cycling,joint_user_sport__outdoor_cycling,linear_trend,300,23.437433866864637,27.44474811834929,2.2827253946848787,77,6097,37856
0.12.0,indoor_virtual_cycling,unseen_sport__indoor_virtual_cycling,persistence,60,6.584497017827544,8.121550454301573,-0.27230253020625983,118,1571,11591
0.12.0,indoor_virtual_cycling,unseen_sport__indoor_virtual_cycling,persistence,180,9.728133778422535,11.72720199213435,-0.4972773667410068,118,1571,11591
0.12.0,indoor_virtual_cycling,unseen_sport__indoor_virtual_cycling,persistence,300,10.14825933962443,12.197082599642718,0.0567415075131905,118,1571,11591
0.12.0,indoor_virtual_cycling,unseen_sport__indoor_virtual_cycling,ewma_alpha_0_1,60,7.073691751592798,8.460403046585503,-1.312930907168457,118,1571,11591
0.12.0,indoor_virtual_cycling,unseen_sport__indoor_virtual_cycling,ewma_alpha_0_1,180,9.031262384329356,10.776112520289521,-1.5379057437032038,118,1571,11591
0.12.0,indoor_virtual_cycling,unseen_sport__indoor_virtual_cycling,ewma_alpha_0_1,300,9.441018668159924,11.278098825887602,-0.9838868694490066,118,1571,11591
0.12.0,indoor_virtual_cycling,unseen_sport__indoor_virtual_cycling,linear_trend,60,9.046516475456215,10.964525497617588,0.16000571449632853,118,1571,11591
0.12.0,indoor_virtual_cycling,unseen_sport__indoor_virtual_cycling,linear_trend,180,14.49828904781849,17.393901598540854,1.0356943475383285,118,1571,11591
0.12.0,indoor_virtual_cycling,unseen_sport__indoor_virtual_cycling,linear_trend,300,18.646374195427885,22.284536178739657,2.700824716101705,118,1571,11591
0.12.0,indoor_virtual_cycling,joint_user_sport__indoor_virtual_cycling,persistence,60,6.147257805069429,7.702290303665696,-1.1806234944746323,18,234,1523
0.12.0,indoor_virtual_cycling,joint_user_sport__indoor_virtual_cycling,persistence,180,9.278247248693852,11.249496066392588,-1.5279965734730323,18,234,1523
0.12.0,indoor_virtual_cycling,joint_user_sport__indoor_virtual_cycling,persistence,300,10.19769185127138,12.589585610945996,0.48251107278410604,18,234,1523
0.12.0,indoor_virtual_cycling,joint_user_sport__indoor_virtual_cycling,ewma_alpha_0_1,60,7.804366783872873,9.17392302489585,-0.8032599501473686,18,234,1523
0.12.0,indoor_virtual_cycling,joint_user_sport__indoor_virtual_cycling,ewma_alpha_0_1,180,9.65750339036017,11.381573157538899,-1.1506330291457687,18,234,1523
0.12.0,indoor_virtual_cycling,joint_user_sport__indoor_virtual_cycling,ewma_alpha_0_1,300,11.005435439945959,13.032276782205454,0.8598746171113697,18,234,1523
0.12.0,indoor_virtual_cycling,joint_user_sport__indoor_virtual_cycling,linear_trend,60,8.893265394094513,10.724939506422873,-0.9313149679131971,18,234,1523
0.12.0,indoor_virtual_cycling,joint_user_sport__indoor_virtual_cycling,linear_trend,180,13.45679697224625,16.66744614059733,-1.5324179742775028,18,234,1523
0.12.0,indoor_virtual_cycling,joint_user_sport__indoor_virtual_cycling,linear_trend,300,19.023346937519165,23.00765822655582,0.29230146203494606,18,234,1523
0.12.0,running,unseen_sport__running,persistence,60,5.4118924725830135,6.783355440282369,-0.2161118278409996,448,44652,308648
0.12.0,running,unseen_sport__running,persistence,180,7.328321225325409,9.039226268463754,-0.5292729293487589,448,44652,308648
0.12.0,running,unseen_sport__running,persistence,300,7.971762732669116,9.720548710190068,-0.8038163019311835,448,44652,308648
0.12.0,running,unseen_sport__running,ewma_alpha_0_1,60,5.8672882094666985,7.144372713434033,-0.6635197432375077,448,44652,308648
0.12.0,running,unseen_sport__running,ewma_alpha_0_1,180,6.952807860071185,8.468277124827264,-0.976680844745267,448,44652,308648
0.12.0,running,unseen_sport__running,ewma_alpha_0_1,300,7.540804867582289,9.158280068768647,-1.2512242173276917,448,44652,308648
0.12.0,running,unseen_sport__running,linear_trend,60,7.516456143211299,9.207977369692673,0.5548959781644534,448,44652,308648
0.12.0,running,unseen_sport__running,linear_trend,180,11.51457232533346,13.992793764575753,1.159191222065679,448,44652,308648
0.12.0,running,unseen_sport__running,linear_trend,300,15.228897999141472,18.39002710775221,1.7639413654442027,448,44652,308648
0.12.0,running,joint_user_sport__running,persistence,60,5.18882101754304,6.5387151573332805,-0.32906696634130445,88,8431,60542
0.12.0,running,joint_user_sport__running,persistence,180,6.825506990691834,8.478546572894057,-0.34239783758054937,88,8431,60542
0.12.0,running,joint_user_sport__running,persistence,300,7.412426007305055,9.136147236278259,-0.5223171117291788,88,8431,60542
0.12.0,running,joint_user_sport__running,ewma_alpha_0_1,60,5.506445107980412,6.7604732437959765,-0.7007912477171917,88,8431,60542
0.12.0,running,joint_user_sport__running,ewma_alpha_0_1,180,6.359101081562574,7.788589096239823,-0.7141221189564366,88,8431,60542
0.12.0,running,joint_user_sport__running,ewma_alpha_0_1,300,6.99588039507513,8.522065862015145,-0.894041393105066,88,8431,60542
0.12.0,running,joint_user_sport__running,linear_trend,60,7.06642720983154,8.699705071874861,0.37908064479247794,88,8431,60542
0.12.0,running,joint_user_sport__running,linear_trend,180,10.82892781642591,13.29191264770533,1.134751106728226,88,8431,60542
0.12.0,running,joint_user_sport__running,linear_trend,300,14.342690002331432,17.50824044691186,1.6992846452623909,88,8431,60542
0.12.0,walking_hiking,unseen_sport__walking_hiking,persistence,60,5.843365136467022,7.030808105765271,0.3027109484888217,144,2063,10149
0.12.0,walking_hiking,unseen_sport__walking_hiking,persistence,180,7.726538251327818,9.226693206487688,0.08367653156071747,144,2063,10149
0.12.0,walking_hiking,unseen_sport__walking_hiking,persistence,300,8.624222411263295,10.034541147280267,0.3888708555845721,144,2063,10149
