model_version,regime,model,horizon_seconds,mae_bpm,rmse_bpm,bias_bpm,users,sessions,origins
0.13.0,within_user_temporal_test,persistence,60,6.7259420633675,8.216195681648797,-0.073063165338342,948,16012,104144
0.13.0,within_user_temporal_test,persistence,180,8.75667761981665,10.644465698369105,-0.4265095428714569,948,16012,104144
0.13.0,within_user_temporal_test,persistence,300,9.587486016407192,11.522616158750239,-0.43544547511072057,948,16012,104144
0.13.0,within_user_temporal_test,ewma_alpha_0_1,60,6.989269083452604,8.394344983682679,-0.7154823812639562,948,16012,104144
0.13.0,within_user_temporal_test,ewma_alpha_0_1,180,8.170839083631757,9.804962327671287,-1.068928758797071,948,16012,104144
0.13.0,within_user_temporal_test,ewma_alpha_0_1,300,8.954805839189726,10.690796895468292,-1.0778646910363348,948,16012,104144
0.13.0,within_user_temporal_test,linear_trend,60,8.975132644424505,10.783848843002456,0.681581165091088,948,16012,104144
0.13.0,within_user_temporal_test,linear_trend,180,13.549896779642523,16.183584342000824,1.3693902554397204,948,16012,104144
0.13.0,within_user_temporal_test,linear_trend,300,17.9821156314217,21.415192006658557,2.3565857896423683,948,16012,104144
