model_version,regime,mode,horizon_seconds,mae_bpm,rmse_bpm,bias_bpm,users,sessions,origins
0.15.0,unseen_user_test_dense_60s_origins,history_informed,60,5.905879020690918,7.621504306793213,0.35605093836784363,105,15746,506203
0.15.0,unseen_user_test_dense_60s_origins,history_informed,180,7.338077068328857,9.296159744262695,0.6437591314315796,105,15746,506203
0.15.0,unseen_user_test_dense_60s_origins,history_informed,300,8.015989303588867,10.054375648498535,0.6564285755157471,105,15746,506203
0.15.0,unseen_user_test_dense_60s_origins,zero_history,60,5.938239574432373,7.671088695526123,0.2962808907032013,105,15746,506203
0.15.0,unseen_user_test_dense_60s_origins,zero_history,180,7.44643497467041,9.429609298706055,0.6782026290893555,105,15746,506203
0.15.0,unseen_user_test_dense_60s_origins,zero_history,300,8.145487785339355,10.199600219726562,0.6157298684120178,105,15746,506203
