baseline_version,regime,model,horizon_seconds,mae_bpm,rmse_bpm,bias_bpm,users,sessions,origins,aggregation
0.5.0,internal_temporal_test,ewma,180,8.173349892482696,9.808204534105109,-1.075165438984031,948,16020,104188,"origin-within-session, session-within-user, equal-user mean"
0.5.0,internal_temporal_test,ewma,300,8.943921642247204,10.679166125718465,-1.0807885946976306,948,16020,104188,"origin-within-session, session-within-user, equal-user mean"
0.5.0,internal_temporal_test,linear_trend,60,8.981448664478506,10.78903539204745,0.6868358615230918,948,16020,104188,"origin-within-session, session-within-user, equal-user mean"
0.5.0,internal_temporal_test,linear_trend,180,13.549691484384342,16.182426357827712,1.3640196110454732,948,16020,104188,"origin-within-session, session-within-user, equal-user mean"
0.5.0,internal_temporal_test,linear_trend,300,17.975289225199315,21.404497879181136,2.3550387542218556,948,16020,104188,"origin-within-session, session-within-user, equal-user mean"
0.5.0,internal_temporal_test,persistence,60,6.731763267181259,8.22214437211869,-0.06892119236702698,948,16020,104188,"origin-within-session, session-within-user, equal-user mean"
0.5.0,internal_temporal_test,persistence,180,8.757798385797589,10.64680400446379,-0.4334794526321577,948,16020,104188,"origin-within-session, session-within-user, equal-user mean"
0.5.0,internal_temporal_test,persistence,300,9.577112618361458,11.510894122206999,-0.4391026083457571,948,16020,104188,"origin-within-session, session-within-user, equal-user mean"
0.5.0,joint_user_sport__indoor_virtual_cycling,ewma,60,7.804363342502957,9.173920401735637,-0.8032269862924707,18,234,1523,"origin-within-session, session-within-user, equal-user mean"
0.5.0,joint_user_sport__indoor_virtual_cycling,ewma,180,9.657502181517364,11.38157236342713,-1.1506002935216533,18,234,1523,"origin-within-session, session-within-user, equal-user mean"
0.5.0,joint_user_sport__indoor_virtual_cycling,ewma,300,11.005440034542689,13.032280734422077,0.8599069440044194,18,234,1523,"origin-within-session, session-within-user, equal-user mean"
0.5.0,joint_user_sport__indoor_virtual_cycling,linear_trend,60,8.893265241312077,10.724939278548852,-0.931314309033129,18,234,1523,"origin-within-session, session-within-user, equal-user mean"
0.5.0,joint_user_sport__indoor_virtual_cycling,linear_trend,180,13.456796285138205,16.667445438491015,-1.532418056532392,18,234,1523,"origin-within-session, session-within-user, equal-user mean"
0.5.0,joint_user_sport__indoor_virtual_cycling,linear_trend,300,19.02334706424052,23.007658533631286,0.2923007576383139,18,234,1523,"origin-within-session, session-within-user, equal-user mean"
0.5.0,joint_user_sport__indoor_virtual_cycling,persistence,60,6.147257546929764,7.702289975742897,-1.1806233874915768,18,234,1523,"origin-within-session, session-within-user, equal-user mean"
0.5.0,joint_user_sport__indoor_virtual_cycling,persistence,180,9.278247108161453,11.249495836414878,-1.5279966947207593,18,234,1523,"origin-within-session, session-within-user, equal-user mean"
0.5.0,joint_user_sport__indoor_virtual_cycling,persistence,300,10.197692212581234,12.589585863153884,0.48251054280531325,18,234,1523,"origin-within-session, session-within-user, equal-user mean"
0.5.0,joint_user_sport__outdoor_cycling,ewma,60,8.791081225052155,10.42390928588551,-1.0244013514838144,77,6097,37856,"origin-within-session, session-within-user, equal-user mean"
0.5.0,joint_user_sport__outdoor_cycling,ewma,180,10.03607167050617,11.895219637270483,-0.9643795220837863,77,6097,37856,"origin-within-session, session-within-user, equal-user mean"
0.5.0,joint_user_sport__outdoor_cycling,ewma,300,11.183746459495412,13.170795805800825,-1.0405855249515124,77,6097,37856,"origin-within-session, session-within-user, equal-user mean"
0.5.0,joint_user_sport__outdoor_cycling,linear_trend,60,11.636539240273464,13.797597290177633,0.307569235533016,77,6097,37856,"origin-within-session, session-within-user, equal-user mean"
0.5.0,joint_user_sport__outdoor_cycling,linear_trend,180,17.453842020713964,20.511572879107145,1.3668194241800253,77,6097,37856,"origin-within-session, session-within-user, equal-user mean"
0.5.0,joint_user_sport__outdoor_cycling,linear_trend,300,23.43743364822461,27.44474795355672,2.282725442435869,77,6097,37856,"origin-within-session, session-within-user, equal-user mean"
0.5.0,joint_user_sport__outdoor_cycling,persistence,60,8.722551146339804,10.530377810473968,-0.5686277638728978,77,6097,37856,"origin-within-session, session-within-user, equal-user mean"
0.5.0,joint_user_sport__outdoor_cycling,persistence,180,11.347720626925668,13.522663558816845,-0.5086059344728695,77,6097,37856,"origin-within-session, session-within-user, equal-user mean"
0.5.0,joint_user_sport__outdoor_cycling,persistence,300,12.109017087780614,14.462960159374386,-0.5848119373405957,77,6097,37856,"origin-within-session, session-within-user, equal-user mean"
0.5.0,joint_user_sport__running,ewma,60,5.506438754979447,6.760467658438014,-0.7007578096501053,88,8431,60542,"origin-within-session, session-within-user, equal-user mean"
0.5.0,joint_user_sport__running,ewma,180,6.3590949015275156,7.788583648552959,-0.7140886541071164,88,8431,60542,"origin-within-session, session-within-user, equal-user mean"
0.5.0,joint_user_sport__running,ewma,300,6.995874279912636,8.522060528391538,-0.8940079180918825,88,8431,60542,"origin-within-session, session-within-user, equal-user mean"
0.5.0,joint_user_sport__running,linear_trend,60,7.066427334617987,8.699705192045199,0.37908066926695394,88,8431,60542,"origin-within-session, session-within-user, equal-user mean"
0.5.0,joint_user_sport__running,linear_trend,180,10.828927814709871,13.2919126303854,1.1347510261341678,88,8431,60542,"origin-within-session, session-within-user, equal-user mean"
0.5.0,joint_user_sport__running,linear_trend,300,14.342690083187305,17.508240491812213,1.699284675997604,88,8431,60542,"origin-within-session, session-within-user, equal-user mean"
0.5.0,joint_user_sport__running,persistence,60,5.188820974652753,6.538715125809957,-0.3290669817123321,88,8431,60542,"origin-within-session, session-within-user, equal-user mean"
0.5.0,joint_user_sport__running,persistence,180,6.825507054137365,8.478546650011014,-0.34239782616934333,88,8431,60542,"origin-within-session, session-within-user, equal-user mean"
0.5.0,joint_user_sport__running,persistence,300,7.412426037272598,9.136147211913348,-0.5223170901541092,88,8431,60542,"origin-within-session, session-within-user, equal-user mean"
0.5.0,joint_user_sport__strength_cross_training,ewma,60,9.203561549016067,10.749229268835236,2.0466380964208275,20,112,503,"origin-within-session, session-within-user, equal-user mean"
0.5.0,joint_user_sport__strength_cross_training,ewma,180,11.687075276075833,13.448538413696147,3.658550935410004,20,112,503,"origin-within-session, session-within-user, equal-user mean"
0.5.0,joint_user_sport__strength_cross_training,ewma,300,10.974893057321054,12.476192278969707,3.007034332889279,20,112,503,"origin-within-session, session-within-user, equal-user mean"
0.5.0,joint_user_sport__strength_cross_training,linear_trend,60,12.180547176322962,14.039459701604954,4.584428084469439,20,112,503,"origin-within-session, session-within-user, equal-user mean"
0.5.0,joint_user_sport__strength_cross_training,linear_trend,180,20.295371616138603,22.696082855468035,8.166912904517094,20,112,503,"origin-within-session, session-within-user, equal-user mean"
0.5.0,joint_user_sport__strength_cross_training,linear_trend,300,23.91444396613192,26.354586938446488,9.496323417256765,20,112,503,"origin-within-session, session-within-user, equal-user mean"
0.5.0,joint_user_sport__strength_cross_training,persistence,60,10.23379470920683,12.305378365725137,3.42974976019554,20,112,503,"origin-within-session, session-within-user, equal-user mean"
0.5.0,joint_user_sport__strength_cross_training,persistence,180,13.834878102940797,15.847646729404875,5.041662599184717,20,112,503,"origin-within-session, session-within-user, equal-user mean"
0.5.0,joint_user_sport__strength_cross_training,persistence,300,13.553743457315417,15.306073041465615,4.390145996663992,20,112,503,"origin-within-session, session-within-user, equal-user mean"
0.5.0,joint_user_sport__walking_hiking,ewma,60,6.565451859403467,7.810222070235168,1.5061854949250162,19,96,428,"origin-within-session, session-within-user, equal-user mean"
0.5.0,joint_user_sport__walking_hiking,ewma,180,6.950994952944131,8.085493205650538,0.40032547135009433,19,96,428,"origin-within-session, session-within-user, equal-user mean"
0.5.0,joint_user_sport__walking_hiking,ewma,300,7.77738495162474,8.858947855229768,1.679195975512972,19,96,428,"origin-within-session, session-within-user, equal-user mean"
0.5.0,joint_user_sport__walking_hiking,linear_trend,60,8.744842642014955,10.295517140789832,1.7031472327268073,19,96,428,"origin-within-session, session-within-user, equal-user mean"
0.5.0,joint_user_sport__walking_hiking,linear_trend,180,10.75495961787414,12.622031513642632,0.742396004245457,19,96,428,"origin-within-session, session-within-user, equal-user mean"
0.5.0,joint_user_sport__walking_hiking,linear_trend,300,15.177067056213502,17.367083734356722,2.3127918251605806,19,96,428,"origin-within-session, session-within-user, equal-user mean"
0.5.0,joint_user_sport__walking_hiking,persistence,60,6.839706994651884,8.279622891601164,1.0075359555251087,19,96,428,"origin-within-session, session-within-user, equal-user mean"
0.5.0,joint_user_sport__walking_hiking,persistence,180,8.244490574110062,9.555109979854036,-0.09832406804981308,19,96,428,"origin-within-session, session-within-user, equal-user mean"
0.5.0,joint_user_sport__walking_hiking,persistence,300,8.078246893031768,9.218235855030061,1.1805464361130646,19,96,428,"origin-within-session, session-within-user, equal-user mean"
0.5.0,unseen_sport__indoor_virtual_cycling,ewma,60,7.172374087729559,8.543041283307412,-1.1043507747296568,163,2245,16459,"origin-within-session, session-within-user, equal-user mean"
0.5.0,unseen_sport__indoor_virtual_cycling,ewma,180,9.128341548594912,10.8654428037367,-1.369283704736659,163,2245,16459,"origin-within-session, session-within-user, equal-user mean"
0.5.0,unseen_sport__indoor_virtual_cycling,ewma,300,9.798089331087384,11.727473364236657,-0.8750269874688624,163,2245,16459,"origin-within-session, session-within-user, equal-user mean"
0.5.0,unseen_sport__indoor_virtual_cycling,linear_trend,60,9.106754882150206,10.975501797427443,0.32527611382430427,163,2245,16459,"origin-within-session, session-within-user, equal-user mean"
0.5.0,unseen_sport__indoor_virtual_cycling,linear_trend,180,14.523106133197254,17.396434305447727,1.1431694200031102,163,2245,16459,"origin-within-session, session-within-user, equal-user mean"
0.5.0,unseen_sport__indoor_virtual_cycling,linear_trend,300,19.0570266677261,22.701969269448526,2.7394909942051924,163,2245,16459,"origin-within-session, session-within-user, equal-user mean"
0.5.0,unseen_sport__indoor_virtual_cycling,persistence,60,6.4301237217793075,7.937359503723289,-0.20221549869422956,163,2245,16459,"origin-within-session, session-within-user, equal-user mean"
0.5.0,unseen_sport__indoor_virtual_cycling,persistence,180,9.522254505271375,11.574817698400151,-0.46714842870123174,163,2245,16459,"origin-within-session, session-within-user, equal-user mean"
0.5.0,unseen_sport__indoor_virtual_cycling,persistence,300,10.224045217111035,12.34326159420604,0.027108288566565143,163,2245,16459,"origin-within-session, session-within-user, equal-user mean"
0.5.0,unseen_sport__outdoor_cycling,ewma,60,8.732131688373698,10.291645618707003,-0.8056748070122751,822,75746,446093,"origin-within-session, session-within-user, equal-user mean"
0.5.0,unseen_sport__outdoor_cycling,ewma,180,10.058516579705964,11.804689349363931,-1.0719739886448665,822,75746,446093,"origin-within-session, session-within-user, equal-user mean"
0.5.0,unseen_sport__outdoor_cycling,ewma,300,10.858291469701047,12.716252173977871,-0.914680063032095,822,75746,446093,"origin-within-session, session-within-user, equal-user mean"
0.5.0,unseen_sport__outdoor_cycling,linear_trend,60,11.375492217106215,13.425745206547365,0.3921202642543879,822,75746,446093,"origin-within-session, session-within-user, equal-user mean"
0.5.0,unseen_sport__outdoor_cycling,linear_trend,180,17.11047849926212,20.055757944180336,1.0260526153106313,822,75746,446093,"origin-within-session, session-within-user, equal-user mean"
0.5.0,unseen_sport__outdoor_cycling,linear_trend,300,22.628471736895218,26.34032964822832,2.0638225066179525,822,75746,446093,"origin-within-session, session-within-user, equal-user mean"
0.5.0,unseen_sport__outdoor_cycling,persistence,60,8.76164508522336,10.49650467433574,-0.18769236376420853,822,75746,446093,"origin-within-session, session-within-user, equal-user mean"
0.5.0,unseen_sport__outdoor_cycling,persistence,180,11.201057443036241,13.281043692498129,-0.45399154539679987,822,75746,446093,"origin-within-session, session-within-user, equal-user mean"
0.5.0,unseen_sport__outdoor_cycling,persistence,300,12.041402374731428,14.159366534979426,-0.29669761978402837,822,75746,446093,"origin-within-session, session-within-user, equal-user mean"
0.5.0,unseen_sport__running,ewma,60,5.759571653890292,7.03963108611556,-0.5403004661267622,838,74140,517267,"origin-within-session, session-within-user, equal-user mean"
0.5.0,unseen_sport__running,ewma,180,6.768823090556524,8.267478836626415,-0.8814846134005632,838,74140,517267,"origin-within-session, session-within-user, equal-user mean"
0.5.0,unseen_sport__running,ewma,300,7.385217268916698,8.991557279967681,-1.177365023326378,838,74140,517267,"origin-within-session, session-within-user, equal-user mean"
0.5.0,unseen_sport__running,linear_trend,60,7.431206052091618,9.126125315646316,0.7700137806180892,838,74140,517267,"origin-within-session, session-within-user, equal-user mean"
0.5.0,unseen_sport__running,linear_trend,180,11.341207981983647,13.804679513714284,1.4173649242080548,838,74140,517267,"origin-within-session, session-within-user, equal-user mean"
0.5.0,unseen_sport__running,linear_trend,300,14.999267460983617,18.16921354449875,2.0714136600072353,838,74140,517267,"origin-within-session, session-within-user, equal-user mean"
0.5.0,unseen_sport__running,persistence,60,5.352639093703021,6.733141776034498,-0.09019887570620506,838,74140,517267,"origin-within-session, session-within-user, equal-user mean"
0.5.0,unseen_sport__running,persistence,180,7.078608384961726,8.777489341893252,-0.431383022980006,838,74140,517267,"origin-within-session, session-within-user, equal-user mean"
0.5.0,unseen_sport__running,persistence,300,7.791676580589303,9.542626957552542,-0.7272634329058207,838,74140,517267,"origin-within-session, session-within-user, equal-user mean"
0.5.0,unseen_sport__strength_cross_training,ewma,60,9.499835238043595,11.007027690727451,0.6889117646690021,144,799,4134,"origin-within-session, session-within-user, equal-user mean"
0.5.0,unseen_sport__strength_cross_training,ewma,180,10.504546144426191,12.153514977464514,0.6518114121483319,144,799,4134,"origin-within-session, session-within-user, equal-user mean"
0.5.0,unseen_sport__strength_cross_training,ewma,300,11.405912791139826,13.044296240848091,0.8191399177551273,144,799,4134,"origin-within-session, session-within-user, equal-user mean"
0.5.0,unseen_sport__strength_cross_training,linear_trend,60,11.432661111214216,13.329986519651355,2.2618948885012635,144,799,4134,"origin-within-session, session-within-user, equal-user mean"
0.5.0,unseen_sport__strength_cross_training,linear_trend,180,17.111971049044442,19.69940368626226,3.460821710320804,144,799,4134,"origin-within-session, session-within-user, equal-user mean"
0.5.0,unseen_sport__strength_cross_training,linear_trend,300,21.83970859452527,24.87627828032069,4.6668118163842855,144,799,4134,"origin-within-session, session-within-user, equal-user mean"
0.5.0,unseen_sport__strength_cross_training,persistence,60,9.754215891345071,11.429493807157389,1.2160370695583227,144,799,4134,"origin-within-session, session-within-user, equal-user mean"
0.5.0,unseen_sport__strength_cross_training,persistence,180,11.91410443282066,13.898474484453855,1.1789367170376528,144,799,4134,"origin-within-session, session-within-user, equal-user mean"
0.5.0,unseen_sport__strength_cross_training,persistence,300,12.858121618963771,14.797890958106844,1.346265222644448,144,799,4134,"origin-within-session, session-within-user, equal-user mean"
0.5.0,unseen_sport__walking_hiking,ewma,60,5.9980003946158185,7.099373839149529,0.3148764621175131,202,2485,12327,"origin-within-session, session-within-user, equal-user mean"
0.5.0,unseen_sport__walking_hiking,ewma,180,7.057627457878578,8.258582702603569,0.09576434643872224,202,2485,12327,"origin-within-session, session-within-user, equal-user mean"
0.5.0,unseen_sport__walking_hiking,ewma,300,7.515694632985079,8.749472756774688,0.561257197934364,202,2485,12327,"origin-within-session, session-within-user, equal-user mean"
0.5.0,unseen_sport__walking_hiking,linear_trend,60,7.63392697035151,8.98450800443868,0.40208101238210125,202,2485,12327,"origin-within-session, session-within-user, equal-user mean"
0.5.0,unseen_sport__walking_hiking,linear_trend,180,11.289676544412515,13.154275984090244,0.2227823001239926,202,2485,12327,"origin-within-session, session-within-user, equal-user mean"
0.5.0,unseen_sport__walking_hiking,linear_trend,300,14.812721257464535,17.271433724426952,0.7652107844162721,202,2485,12327,"origin-within-session, session-within-user, equal-user mean"
0.5.0,unseen_sport__walking_hiking,persistence,60,5.870893160800582,7.0604160250043115,0.33154650801978425,202,2485,12327,"origin-within-session, session-within-user, equal-user mean"
0.5.0,unseen_sport__walking_hiking,persistence,180,7.559220824363513,8.999593979837075,0.1124343923409934,202,2485,12327,"origin-within-session, session-within-user, equal-user mean"
