regime,mode,horizon_seconds,nominal_coverage,seed_count,delta_adjustment_bpm_median,delta_adjustment_bpm_min,delta_adjustment_bpm_max,delta_picp_median,delta_picp_min,delta_picp_max,delta_absolute_coverage_error_median,delta_absolute_coverage_error_min,delta_absolute_coverage_error_max,delta_mean_interval_width_bpm_median,delta_mean_interval_width_bpm_min,delta_mean_interval_width_bpm_max
goldencheetah_frozen_external,zero_history,180,0.5,5,0.20654296875,0.0338592529296875,0.2605743408203125,0.014000696914316324,0.0017513752700889507,0.0173489640856897,-0.014000696914316324,-0.0173489640856897,-0.0017513752700889507,0.41308077461857096,0.0677173342074866,0.5211323639419412
goldencheetah_frozen_external,zero_history,180,0.8,5,0.5234375,0.10713958740234375,0.60546875,0.01870529601598714,0.0034915689101401304,0.020994562310861276,-0.01870529601598714,-0.020994562310861276,-0.0034915689101401304,1.0468336087606005,0.214281519364647,1.2108877507996176
goldencheetah_frozen_external,zero_history,180,0.9,5,0.6171875,0.36978912353515625,0.685333251953125,0.011760984298888277,0.006919641837664803,0.013027673365072157,-0.011760984298888277,-0.013027673365072157,-0.006919641837664803,1.23430420790433,0.7394970142425379,1.370454742605169
goldencheetah_frozen_external,zero_history,300,0.5,5,0.10333251953125,0.0,0.216796875,0.006017534426430715,0.0,0.012521228818285879,-0.006017534426430715,-0.012521228818285879,0.0,0.2066597983176237,0.0,0.43358776840108604
goldencheetah_frozen_external,zero_history,300,0.8,5,0.362396240234375,0.0,0.435546875,0.011120993197688778,0.0,0.012451751431740266,-0.011120993197688778,-0.012451751431740266,0.0,0.7247625459205871,0.0,0.8710576309648559
goldencheetah_frozen_external,zero_history,300,0.9,5,0.90625,0.5645904541015625,1.0677032470703125,0.015561439109328945,0.009977661428754114,0.01823495667739472,-0.015561439109328945,-0.01823495667739472,-0.009977661428754114,1.8123946426855966,1.1290421762934528,2.1352704891351593
goldencheetah_frozen_external,zero_history,60,0.5,5,0.0908203125,0.0367889404296875,0.1389617919921875,0.00848373784583778,0.0036027711414951535,0.013113554170828323,-0.0036027711414951535,-0.013113554170828323,0.007475294510263519,0.18163799595963326,0.07357608751285127,0.27792116470341277
goldencheetah_frozen_external,zero_history,60,0.8,5,0.30450439453125,0.0,0.337890625,0.013109524013500962,0.0,0.014750896294064675,-0.013109524013500962,-0.014750896294064675,0.0,0.6089788047328106,0.0,0.6757441880442059
goldencheetah_frozen_external,zero_history,60,0.9,5,0.47309112548828125,0.21484375,0.5985260009765625,0.010286092529943947,0.004529399131966261,0.014474911495550247,-0.010286092529943947,-0.014474911495550247,-0.004529399131966261,0.9460862255502533,0.42965195801019007,1.196962829773149
unseen_user_test,history_informed,180,0.5,5,0.10807037353515625,0.0,0.1852264404296875,0.010720590377639616,0.0,0.017799877848428847,-0.010720590377639616,-0.017799877848428847,0.0,0.21579899665750624,0.0,0.36993018766701624
unseen_user_test,history_informed,180,0.8,5,0.377349853515625,0.046875,0.466796875,0.016742517442166704,0.0019068083072625308,0.023141617907297185,-0.010041550762400542,-0.01273855765735854,0.0010598551131032474,0.7524772412192853,0.09350806508925302,0.930374476342454
unseen_user_test,history_informed,180,0.9,5,0.4447174072265625,0.205352783203125,0.578125,0.011203421441949968,0.004793282314630609,0.012471223776138185,-0.007667787301423368,-0.010793094953605253,-0.00041332341046929066,0.8853784418647628,0.40911513670312516,1.1500606268601707
unseen_user_test,history_informed,300,0.5,5,0.0612030029296875,0.0,0.1811065673828125,0.006341569240886247,0.0,0.015996281622847608,-0.006341569240886247,-0.015996281622847608,0.0,0.12221988669345407,0.0,0.36168943436154777
unseen_user_test,history_informed,300,0.8,5,0.1940155029296875,0.0305633544921875,0.34765625,0.008197440817465429,0.0010149819413514116,0.01550642602448049,-0.008197440817465429,-0.01550642602448049,-0.0010149819413514116,0.3866364564885032,0.060955824566995886,0.6931724510395725
unseen_user_test,history_informed,300,0.9,5,0.5546875,0.4343719482421875,0.84375,0.011743965612204144,0.0078106018571361124,0.017482313399909133,-0.011743965612204144,-0.017482313399909133,-0.0078106018571361124,1.1033533962073463,0.8651644315281217,1.6794021927088565
unseen_user_test,history_informed,60,0.5,5,0.05859375,0.0,0.1060333251953125,0.007790329045631816,0.0,0.01415046362093092,-0.007790329045631816,-0.01062911156917351,0.0,0.11705337870346533,0.0,0.2118068200132388
unseen_user_test,history_informed,60,0.8,5,0.19921875,0.0,0.2161407470703125,0.01188994068066307,0.0,0.013451991872307056,-0.005154608388595272,-0.01188994068066307,0.0,0.39745268816592016,0.0,0.4311760218542915
unseen_user_test,history_informed,60,0.9,5,0.1927032470703125,0.140625,0.28580474853515625,0.005913506561608384,0.004030039200524804,0.009668392188317942,-0.004069547441699295,-0.009668392188317942,0.004030039200524804,0.3838893335856781,0.2798271849984282,0.5694598168478784
