analysis_version,source_model_version,reference_seed,comparison_scope,sport_family,horizon_seconds,metric,unit,internal_source,internal_mode,internal_estimate,internal_ci_low,internal_ci_high,external_source,external_mode,external_estimate,external_ci_low,external_ci_high,external_minus_internal,difference_ci_low,difference_ci_high,internal_users,external_users,internal_sessions,external_sessions,internal_origins,external_origins,bootstrap_replicates,bootstrap_unit,aggregation,post_cqr,causal_source_or_device_effect_claimed,user_level_conformal_guarantee_claimed
0.24.0,0.11.0,20260722,equal_family_standardized,macro_average_three_families,60,mean_90_interval_width_bpm,bpm,Endomondo,unseen_user_zero_history,24.91088145451131,23.072942253856382,26.916819231665254,GoldenCheetah,forced_zero_history,24.08957423785822,23.37735512657182,24.84283731528383,-0.8213072166530893,-2.9674162467577743,1.1468726781016287,104,144,14762,31851,99921,531725,10000,user independently within each source,"origin-within-session, session-within-user, equal-user family mean, then stated family weighting",True,False,False
0.24.0,0.11.0,20260722,equal_family_standardized,macro_average_three_families,60,weighted_interval_score,bpm,Endomondo,unseen_user_zero_history,3.6490213471681057,3.312046150966931,4.062085295646698,GoldenCheetah,forced_zero_history,4.1275240638416015,3.7933097526271653,4.53853169162662,0.47850271667349586,-0.04324531279700344,1.0090451365482742,104,144,14762,31851,99921,531725,10000,user independently within each source,"origin-within-session, session-within-user, equal-user family mean, then stated family weighting",True,False,False
0.24.0,0.11.0,20260722,endomondo_session_mix_standardized,three_families_weighted_to_endomondo_sessions,60,picp_90,proportion,Endomondo,unseen_user_zero_history,0.892108915290267,0.88138341695954,0.9021218540586017,GoldenCheetah,forced_zero_history,0.8666438670373657,0.8381233331761512,0.8870760468725297,-0.0254650482529013,-0.0553639968191755,-0.0019218736518836804,104,144,14762,31851,99921,531725,10000,user independently within each source,"origin-within-session, session-within-user, equal-user family mean, then stated family weighting",True,False,False
0.24.0,0.11.0,20260722,endomondo_session_mix_standardized,three_families_weighted_to_endomondo_sessions,60,mean_90_interval_width_bpm,bpm,Endomondo,unseen_user_zero_history,24.29028044049907,23.28659027154798,25.331944571946195,GoldenCheetah,forced_zero_history,25.119442362521227,24.130442731813787,26.226713629955505,0.8291619220221556,-0.6011529128528343,2.3279565005123306,104,144,14762,31851,99921,531725,10000,user independently within each source,"origin-within-session, session-within-user, equal-user family mean, then stated family weighting",True,False,False
0.24.0,0.11.0,20260722,endomondo_session_mix_standardized,three_families_weighted_to_endomondo_sessions,60,weighted_interval_score,bpm,Endomondo,unseen_user_zero_history,3.5554058723247266,3.359086882703099,3.761763481113467,GoldenCheetah,forced_zero_history,4.0619307484271365,3.7526008247209726,4.420976363435633,0.5065248761024099,0.13076590966971954,0.9147076537768217,104,144,14762,31851,99921,531725,10000,user independently within each source,"origin-within-session, session-within-user, equal-user family mean, then stated family weighting",True,False,False
0.24.0,0.11.0,20260722,goldencheetah_session_mix_standardized,three_families_weighted_to_goldencheetah_sessions,60,picp_90,proportion,Endomondo,unseen_user_zero_history,0.8952703966859725,0.8803566828312284,0.9087774145926053,GoldenCheetah,forced_zero_history,0.8746151480103346,0.8653016897445132,0.8829205465506925,-0.02065524867563795,-0.03671473711496095,-0.00388806614846972,104,144,14762,31851,99921,531725,10000,user independently within each source,"origin-within-session, session-within-user, equal-user family mean, then stated family weighting",True,False,False
0.24.0,0.11.0,20260722,goldencheetah_session_mix_standardized,three_families_weighted_to_goldencheetah_sessions,60,mean_90_interval_width_bpm,bpm,Endomondo,unseen_user_zero_history,29.95685865119882,28.751051250491436,31.21139287311688,GoldenCheetah,forced_zero_history,28.938211718778543,28.22098637900354,29.665867886164975,-1.0186469324202783,-2.4595801662879295,0.3883358054697097,104,144,14762,31851,99921,531725,10000,user independently within each source,"origin-within-session, session-within-user, equal-user family mean, then stated family weighting",True,False,False
0.24.0,0.11.0,20260722,goldencheetah_session_mix_standardized,three_families_weighted_to_goldencheetah_sessions,60,weighted_interval_score,bpm,Endomondo,unseen_user_zero_history,4.270293523626577,4.01537137809977,4.537916257768068,GoldenCheetah,forced_zero_history,4.460225092558905,4.274055732356184,4.657936579204807,0.18993156893232754,-0.13221827823735716,0.5090926560466942,104,144,14762,31851,99921,531725,10000,user independently within each source,"origin-within-session, session-within-user, equal-user family mean, then stated family weighting",True,False,False
0.24.0,0.11.0,20260722,shared_family_natural_mix,all_three_supported_families,180,picp_90,proportion,Endomondo,unseen_user_zero_history,0.8886521340124443,0.8803890855450398,0.8967352416694084,GoldenCheetah,forced_zero_history,0.8585680515853201,0.8508427045747174,0.8662630070200668,-0.030084082427124126,-0.041344952529720556,-0.018723926172553477,104,144,14762,31851,99921,531725,10000,user independently within each source,"origin-within-session, session-within-user, equal-user family mean, then stated family weighting",True,False,False
0.24.0,0.11.0,20260722,shared_family_natural_mix,all_three_supported_families,180,mean_90_interval_width_bpm,bpm,Endomondo,unseen_user_zero_history,29.496399174760548,27.83637309697489,31.213510697056122,GoldenCheetah,forced_zero_history,37.49762200495755,36.559489603217045,38.40207560812883,8.001222830197001,6.082867684327748,9.874665536327335,104,144,14762,31851,99921,531725,10000,user independently within each source,"origin-within-session, session-within-user, equal-user family mean, then stated family weighting",True,False,False
