model_version,regime,mode,horizon_seconds,calibrated,pinball_loss,weighted_interval_score,normalized_90_interval_width,mean_user_spearman_width_absolute_error,users_with_defined_spearman,users,sessions,origins
0.13.0,within_user_temporal_test,history_informed,60,False,1.7848232984542847,3.5696465969085693,0.1782267540693283,0.32726186142963853,938,948,16012,104144
0.13.0,within_user_temporal_test,history_informed,180,False,2.249525308609009,4.499050617218018,0.22042055428028107,0.2849587955760896,938,948,16012,104144
0.13.0,within_user_temporal_test,history_informed,300,False,2.4563379287719727,4.912675857543945,0.24068692326545715,0.26330920421281107,938,948,16012,104144
0.13.0,within_user_temporal_test,history_informed,60,True,1.7848232984542847,3.568715810775757,0.18076930940151215,0.32725797263006134,938,948,16012,104144
0.13.0,within_user_temporal_test,history_informed,180,True,2.249525308609009,4.498480796813965,0.22317613661289215,0.2849536399127118,938,948,16012,104144
0.13.0,within_user_temporal_test,history_informed,300,True,2.4563379287719727,4.912261962890625,0.2420550435781479,0.26330513665271615,938,948,16012,104144
0.13.0,within_user_temporal_test,zero_history,60,False,1.8043218851089478,3.6086435317993164,0.17601679265499115,0.33353667486421706,938,948,16012,104144
0.13.0,within_user_temporal_test,zero_history,180,False,2.2908811569213867,4.581761837005615,0.21811045706272125,0.2846908389306245,938,948,16012,104144
0.13.0,within_user_temporal_test,zero_history,300,False,2.5071799755096436,5.014359951019287,0.23867353796958923,0.2673112135274089,938,948,16012,104144
0.13.0,within_user_temporal_test,zero_history,60,True,1.8043218851089478,3.607469081878662,0.1794806718826294,0.3335357066253852,938,948,16012,104144
0.13.0,within_user_temporal_test,zero_history,180,True,2.2908811569213867,4.580538749694824,0.22218933701515198,0.2846877577271229,938,948,16012,104144
0.13.0,within_user_temporal_test,zero_history,300,True,2.5071799755096436,5.013300895690918,0.24251987040042877,0.2673103023039007,938,948,16012,104144
