seed,protocol,evaluation,horizon_seconds,contrast,definition,mixed_history_mae_bpm,mixed_zero_mae_bpm,independent_zero_mae_bpm,difference_bpm,negative_favors_left,users,sessions,origins,aggregation,row_index_sha256,user_support_sha256
20260722,strict_temporal,internal_test,180,mixed_history_minus_independent_zero,mixed history-informed minus independently trained zero-history,7.555811528250109,7.6499255764759075,7.61193582255565,-0.05612429430554044,True,948,16012,104144,"origin-within-session, session-within-user, equal-user mean",4d0a7239283fe1441d5b793f5c83cc347af692967c403bc2fda92f0bbd9ca737,5fe297c6daaa20fb6f330a616362d5e6b8af5864196baeb18b501366fe243592
20260723,strict_temporal,internal_test,180,mixed_history_minus_independent_zero,mixed history-informed minus independently trained zero-history,7.547680816212329,7.655842523808752,7.6316056674968955,-0.08392485128457526,True,948,16012,104144,"origin-within-session, session-within-user, equal-user mean",4d0a7239283fe1441d5b793f5c83cc347af692967c403bc2fda92f0bbd9ca737,5fe297c6daaa20fb6f330a616362d5e6b8af5864196baeb18b501366fe243592
20260724,strict_temporal,internal_test,180,mixed_history_minus_independent_zero,mixed history-informed minus independently trained zero-history,7.561564426446922,7.64991335390254,7.631506070234501,-0.06994164378758308,True,948,16012,104144,"origin-within-session, session-within-user, equal-user mean",4d0a7239283fe1441d5b793f5c83cc347af692967c403bc2fda92f0bbd9ca737,5fe297c6daaa20fb6f330a616362d5e6b8af5864196baeb18b501366fe243592
20260725,strict_temporal,internal_test,180,mixed_history_minus_independent_zero,mixed history-informed minus independently trained zero-history,7.562630955165409,7.652718680105228,7.617408494914608,-0.05477753974920362,True,948,16012,104144,"origin-within-session, session-within-user, equal-user mean",4d0a7239283fe1441d5b793f5c83cc347af692967c403bc2fda92f0bbd9ca737,5fe297c6daaa20fb6f330a616362d5e6b8af5864196baeb18b501366fe243592
20260726,strict_temporal,internal_test,180,mixed_history_minus_independent_zero,mixed history-informed minus independently trained zero-history,7.556801175293229,7.644672966560962,7.606478998418353,-0.049677823125117,True,948,16012,104144,"origin-within-session, session-within-user, equal-user mean",4d0a7239283fe1441d5b793f5c83cc347af692967c403bc2fda92f0bbd9ca737,5fe297c6daaa20fb6f330a616362d5e6b8af5864196baeb18b501366fe243592
20260722,strict_temporal,internal_test,180,mixed_history_minus_mixed_zero,mixed history-informed minus mixed forced-zero-history,7.555811528250109,7.6499255764759075,7.61193582255565,-0.09411404822580442,True,948,16012,104144,"origin-within-session, session-within-user, equal-user mean",4d0a7239283fe1441d5b793f5c83cc347af692967c403bc2fda92f0bbd9ca737,5fe297c6daaa20fb6f330a616362d5e6b8af5864196baeb18b501366fe243592
20260723,strict_temporal,internal_test,180,mixed_history_minus_mixed_zero,mixed history-informed minus mixed forced-zero-history,7.547680816212329,7.655842523808752,7.6316056674968955,-0.10816170759642879,True,948,16012,104144,"origin-within-session, session-within-user, equal-user mean",4d0a7239283fe1441d5b793f5c83cc347af692967c403bc2fda92f0bbd9ca737,5fe297c6daaa20fb6f330a616362d5e6b8af5864196baeb18b501366fe243592
20260724,strict_temporal,internal_test,180,mixed_history_minus_mixed_zero,mixed history-informed minus mixed forced-zero-history,7.561564426446922,7.64991335390254,7.631506070234501,-0.08834892745561958,True,948,16012,104144,"origin-within-session, session-within-user, equal-user mean",4d0a7239283fe1441d5b793f5c83cc347af692967c403bc2fda92f0bbd9ca737,5fe297c6daaa20fb6f330a616362d5e6b8af5864196baeb18b501366fe243592
20260725,strict_temporal,internal_test,180,mixed_history_minus_mixed_zero,mixed history-informed minus mixed forced-zero-history,7.562630955165409,7.652718680105228,7.617408494914608,-0.09008772493983049,True,948,16012,104144,"origin-within-session, session-within-user, equal-user mean",4d0a7239283fe1441d5b793f5c83cc347af692967c403bc2fda92f0bbd9ca737,5fe297c6daaa20fb6f330a616362d5e6b8af5864196baeb18b501366fe243592
20260726,strict_temporal,internal_test,180,mixed_history_minus_mixed_zero,mixed history-informed minus mixed forced-zero-history,7.556801175293229,7.644672966560962,7.606478998418353,-0.08787179126772209,True,948,16012,104144,"origin-within-session, session-within-user, equal-user mean",4d0a7239283fe1441d5b793f5c83cc347af692967c403bc2fda92f0bbd9ca737,5fe297c6daaa20fb6f330a616362d5e6b8af5864196baeb18b501366fe243592
20260722,strict_temporal,internal_test,180,mixed_zero_minus_independent_zero,mixed forced-zero-history minus independently trained zero-history,7.555811528250109,7.6499255764759075,7.61193582255565,0.037989753920263984,True,948,16012,104144,"origin-within-session, session-within-user, equal-user mean",4d0a7239283fe1441d5b793f5c83cc347af692967c403bc2fda92f0bbd9ca737,5fe297c6daaa20fb6f330a616362d5e6b8af5864196baeb18b501366fe243592
20260723,strict_temporal,internal_test,180,mixed_zero_minus_independent_zero,mixed forced-zero-history minus independently trained zero-history,7.547680816212329,7.655842523808752,7.6316056674968955,0.02423685631185352,True,948,16012,104144,"origin-within-session, session-within-user, equal-user mean",4d0a7239283fe1441d5b793f5c83cc347af692967c403bc2fda92f0bbd9ca737,5fe297c6daaa20fb6f330a616362d5e6b8af5864196baeb18b501366fe243592
